,cyr1∆/∆ pH 4 replicate 1,cyr1∆/∆ pH 4 replicate 2,cyr1∆/∆::CYR1 pH 4 replicate 1,cyr1∆/∆::CYR1 pH 4 replicate 2,cyr1∆/∆ pH 7 replicate 1,cyr1∆/∆ pH 7 replicate 2,cyr1∆/∆::CYR1 pH 7 replicate 1,cyr1∆/∆::CYR1 pH 7 replicate 2
orf19.2007,404,407,1301,1112,477,514,750,707
orf19.2008,152,184,357,373,254,289,263,274
orf19.2009,410,346,1628,1522,490,517,1309,1436
orf19.201,236,237,174,159,295,308,153,145
orf19.2010,1,0,9,12,0,0,1,5
orf19.2012,511,588,897,977,868,824,609,791
orf19.2013,32769,19873,24191,23002,18775,18567,24732,30016
orf19.2014,7465,9058,4798,4119,8318,8687,2580,3424
orf19.2016,768,642,855,796,901,880,533,474
orf19.2017,211,204,811,903,380,355,378,522
orf19.2018,38,33,68,82,76,68,40,84
orf19.2018.1,141,130,41,44,117,126,23,28
orf19.2018.2,30,39,63,68,58,60,55,59
orf19.2019,656,582,1224,1341,687,708,757,699
orf19.202,533,760,1228,1239,1199,1401,897,880
orf19.2020,135956,143846,24007,18741,163731,160445,18555,19144
orf19.2021,5014,5791,2703,2168,5943,5274,654,981
orf19.2023,154544,147849,10608,9014,55012,58413,605,893
orf19.2024,17,8,5,17,7,12,7,11
orf19.2025,1,0,9,11,2,4,17,14
orf19.2026,1393,1495,1510,1218,1533,1602,625,769
orf19.2028,869,754,5049,4946,1724,1771,622,1130
orf19.2029,838,601,1521,1669,501,536,1051,1326
orf19.203,1501,1508,3744,3492,1248,1426,1533,2387
orf19.2030,3690,2555,1945,1995,2706,2706,1383,1768
orf19.2031,1006,707,588,514,787,873,333,529
orf19.2032,909,586,648,633,541,564,340,470
orf19.2033,56,44,157,161,6,9,124,90
orf19.2034,1,2,11,9,0,0,9,24
orf19.2035,244,379,27,34,198,168,32,43
orf19.2036,2854,3436,396,380,4957,4787,241,233
orf19.2037,690,837,492,547,694,717,295,288
orf19.2038,45,63,74,84,5,5,37,44
orf19.2039,893,629,1722,1617,795,805,936,1024
orf19.204,258,223,80,76,153,134,87,67
orf19.2040,192,191,324,320,213,240,181,242
orf19.2041,761,870,833,753,986,1138,447,520
orf19.2042,286,325,624,513,329,297,317,410
orf19.2043,351,308,429,383,320,311,214,191
orf19.2044,86,87,262,272,58,63,214,207
orf19.2045,754,673,1884,1824,467,491,2118,2152
orf19.2046,847,857,1006,792,516,576,521,768
orf19.2047,4564,4429,1409,1322,3674,3945,786,1113
orf19.2048,11677,5185,23108,25274,4370,5048,9886,18182
orf19.2049,157,136,583,476,66,68,455,578
orf19.2050,4524,3947,5590,5214,3190,3320,3290,4015
orf19.2051,396,481,429,430,696,708,269,307
orf19.2054,301,339,466,400,510,526,351,446
orf19.2055,774,992,1228,1102,1022,1104,653,828
orf19.2057,3046,2356,11885,11237,2339,3150,5643,5642
orf19.2059,187,186,215,204,138,150,119,148
orf19.206,484,801,567,422,653,826,287,374
orf19.2060,37,19,49,62,38,44,4132,2729
orf19.2061,2,2,15,13,0,0,34,37
orf19.2062,768,831,3286,3320,242,248,1740,2447
orf19.2063,253,298,608,470,217,278,257,344
orf19.2064,476,452,1210,984,277,310,571,801
orf19.2065,65,96,180,207,164,151,91,112
orf19.2066,83,66,187,261,106,115,149,136
orf19.2066.1,1691,1254,2069,2364,1783,1466,1451,1326
orf19.2067,859,595,3688,4036,540,533,2552,2791
orf19.2068,514,515,985,969,503,495,711,754
orf19.2069,1002,732,3718,3717,731,786,3034,3380
orf19.207,637,824,818,636,710,774,540,676
orf19.2070,935,1003,1668,1507,1310,1451,1236,1493
orf19.2071,0,0,4,2,0,1,2,2
orf19.2072,354,355,158,102,368,396,82,116
orf19.2073,1839,1749,2979,2562,1383,1541,1881,2567
orf19.2074,27,30,47,30,11,22,25,40
orf19.2075,2717,4840,2830,2782,2008,2172,1434,1884
orf19.2076,476,410,422,429,975,1069,400,437
orf19.2077,592,531,784,722,451,429,543,699
orf19.2078,1203,1016,1325,1043,1062,1094,1825,1843
orf19.2079,2075,1089,2253,2274,2223,2274,6300,4845
