,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24
orf19.4887,4.474125356,4.372554441,4.592236704,4.11091175,4.367039913,4.416553662,4.256257054,4.283514825,4.339334902,4.302041854,4.302874193,4.329085203,5.502933251,5.530170944,5.293643986,5.329421615,5.509414786,5.196896089,5.353972284,5.2938981,5.192669668,5.02038304,4.911157118,5.242976676
orf19.4888,5.413270423,5.53985287,5.34421831,5.62064643,5.477068802,5.401040902,5.554726236,5.555464538,5.556034695,5.551675127,5.607749216,5.322249331,5.612705062,5.584672804,5.560898314,5.659314426,5.614090245,5.669916622,5.668798496,5.608673853,5.663443411,5.80437035,5.814395854,5.645937948
orf19.4889,7.170484757,7.041525058,7.130641142,7.222888311,7.216440268,7.166773948,7.037604852,7.007494478,6.932669752,7.325389555,7.292662731,7.4854599,5.834148801,5.749241498,5.836054441,5.924276363,5.804758487,6.100933767,5.746956236,5.938406033,5.734228072,5.931818324,6.042503112,6.015336262
orf19.489,5.295852508,5.730534906,5.275105497,4.602062546,4.991889753,4.906882851,5.792136444,5.668038041,5.755664715,4.349082073,4.685876595,4.523857091,5.999381058,6.158838364,5.869074763,5.578309399,6.138557231,5.395059392,6.027168054,5.85302593,5.774106662,5.363134156,5.192320192,5.410515811
orf19.4890,6.502399605,6.716980624,6.594367948,6.68000944,6.522219924,6.618783127,6.793174766,6.744920395,6.677242396,6.641865654,6.585555818,6.606296117,6.293448503,6.310270507,6.407672543,6.403315783,6.223423748,6.295530458,6.492292144,6.535449717,6.515125885,6.252220142,6.327345611,6.169721623
orf19.4892,5.207970141,4.81456074,5.146587717,5.158092274,5.120245834,5.003547977,5.194490575,5.509034813,5.427421741,5.416239854,5.252053649,5.460250291,4.283097867,4.325607392,4.34216772,4.651761405,4.608929209,4.632159559,4.341563444,4.455891641,4.41560091,4.560707881,4.413629278,4.712127776
orf19.4893,5.184135841,5.076391019,4.950558634,4.293843675,4.560475975,4.557296,5.106100247,4.950670096,5.044522129,4.253416005,4.311798688,4.406692602,6.085068176,6.179971513,6.113056452,6.09078497,6.005456764,5.818620955,6.148572025,6.212072827,6.141110242,5.78860846,5.839987053,5.929632506
orf19.4894,-1.241702963,-0.671605966,-0.945716652,-2.747619203,-0.817491588,-0.820566757,-1.269539101,-0.576170682,-0.998150148,-1.040619587,-1.371269253,-0.508994212,3.520384602,3.617711465,3.552522754,2.39370183,2.446764789,2.159190007,3.39028299,3.373969409,3.02905,2.414781519,2.11615001,2.509149616
orf19.4895,5.944637093,6.171666996,5.888122329,6.433729066,6.333055999,6.316071696,6.136453417,5.941509374,5.973998768,6.271643889,6.315201111,6.170966604,3.478330375,3.373588547,3.418734317,3.648795218,3.222261995,4.51276536,3.558031511,3.706225685,3.91293889,4.481222862,4.403857065,3.886192842
orf19.4896,7.731943101,7.999485586,7.713133445,8.240855973,8.400846041,8.248371557,7.805861911,7.632192078,7.702342533,8.376477003,8.295951887,8.203669014,5.509473343,5.436689859,5.438959365,6.136482397,6.021345705,6.315233363,5.343072626,5.260604072,5.335001075,6.427840014,6.288042179,6.267569347
orf19.4897,5.27719781,4.62828286,5.361868713,4.961807756,4.981911687,5.075535771,4.718686136,5.047248069,5.001797627,5.23848575,5.256682777,5.482479218,6.494739856,6.514357025,6.562770166,6.430790368,6.28454872,6.251694213,6.025805492,6.200048859,6.156279246,6.047812628,5.99772839,6.366013411
orf19.4898,3.294251934,3.154757011,3.280957424,2.45140268,2.102952999,2.485292293,3.497690291,3.410225965,3.429344025,2.109513387,2.021763827,1.816601528,7.574419249,7.735536516,7.675259207,6.781009794,7.165263481,6.575713671,7.33378017,7.176063314,7.163611907,6.458878133,6.329928157,6.654593811
orf19.4899,0.175595517,1.221638945,0.863375298,0.532664855,-0.817491588,-0.565677363,1.715178,1.047580879,1.371396086,-0.571502407,-0.001550604,0.281433184,7.321422069,8.004928873,7.578754275,6.365437023,7.095338739,4.825589426,7.862165417,7.552597913,7.045698628,4.080688037,4.011946927,5.632438866
orf19.490,5.697679882,5.753505258,5.498992226,5.489274106,5.522520098,5.508976489,5.508451726,5.566842195,5.58043652,5.487049131,5.315547596,5.287951567,5.569542977,5.515698185,5.443664296,5.432292677,5.657254457,5.520172518,5.250446098,5.230827868,5.33943804,5.650097949,5.591470306,5.546281678
orf19.4900,3.462213721,3.691888014,3.367379732,3.888785465,3.857412361,4.149336527,5.611287186,5.526621528,5.582854155,4.281402558,4.423056582,4.23402157,3.5612476,3.602139043,3.59825295,3.341583966,3.511230934,3.156097884,4.447129101,4.720554143,4.35990929,3.377489672,3.160166974,3.734397081
orf19.4901,-2.177883805,-0.982587762,-1.254418422,-2.747619203,-2.956947123,-5.708308745,-0.303190014,-0.79172295,-1.250203308,-2.279821992,-1.920974538,-0.911001815,2.18647121,2.231936033,1.64919109,1.967420955,1.613015069,1.037224329,1.381207485,2.07530499,1.556244793,1.726084703,1.671003614,1.781947758
orf19.4903,1.983918348,1.144293608,1.013860891,0.532664855,1.281937251,0.823606486,1.799586594,1.712465533,1.726605037,1.052341561,0.314842307,1.548124224,3.344270807,3.068281229,2.965831162,3.136325958,2.983607406,2.809018544,3.120984563,3.285699694,3.325913852,2.630552101,2.821499201,3.25986789
orf19.4904,3.233618878,2.253033243,3.395073793,3.360501245,2.880953154,3.270225156,3.057989874,3.278025215,3.270444222,2.850161447,3.602189187,3.530400409,3.5612476,2.998622896,3.106973655,3.599119371,3.519391193,3.533894998,3.645800105,3.754858698,3.673886341,3.432619468,3.434254223,3.717448537
orf19.4905,2.369299212,2.013077228,2.110869952,2.0150706,2.308547197,2.273082328,1.625522278,1.712465533,2.148288878,1.908838314,2.224402862,2.012638018,3.848037464,3.885526198,4.125032082,3.720242028,3.871442778,3.493773203,3.761653545,3.730747108,3.564432523,3.669066457,3.414923393,3.923619697
orf19.4906,6.687558455,6.894277536,6.731030806,6.568049912,6.683287009,6.498233938,6.616832867,6.607066921,6.588593898,6.21291041,6.306297703,6.257299405,6.500660734,6.594258075,6.579967448,6.190593169,6.149113947,6.343728006,6.35688957,6.223997411,6.278000478,6.413352247,6.365606633,6.175938498
orf19.4907,2.602963186,2.324900631,2.726771464,2.269220211,2.622954488,2.240048218,2.22286726,2.040890886,2.12193193,1.588746116,2.146728346,2.072479876,7.090546625,7.058077438,7.130472628,6.235991922,6.267693147,6.131326863,6.786667738,6.751572021,6.878173596,5.931818324,5.941421976,6.575678744
orf19.4908,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-2.959656593,-5.708308745,-3.155674075,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-2.808462927,-3.556041748,-3.913536438,-2.111583171,-5.708308745,-2.774004631,-5.708308745,-5.708308745,-3.620760513,-3.054918138,-5.708308745,-3.368129056
orf19.4909,7.085117273,7.378794132,7.105716177,6.891891766,6.983758791,6.927098531,7.286413636,7.256157032,7.244280211,6.886977144,6.905953795,6.950267126,6.809734157,6.820540084,6.862410875,6.914772808,6.77072919,7.023223635,6.830249568,6.859057266,6.940104302,6.951783656,7.026459546,6.963947118
orf19.4909.1,12.11402169,12.26711442,12.11914322,12.49012964,12.58608492,12.57746316,12.1139591,12.03849253,12.09915926,12.50331644,12.48450689,12.32639753,10.80525725,10.67023629,10.65550337,11.06750638,11.24037076,11.28409544,10.41420889,10.35058562,10.43966865,11.39704778,11.32612366,11.19822272
orf19.491,8.046428301,8.034068682,8.078650846,8.007607653,8.047829729,8.127136969,8.400951547,8.332213735,8.395572122,8.055380338,8.032710145,7.936130333,8.156940174,8.209217321,8.250028081,8.114252708,8.107469051,8.034699054,8.50605526,8.494412712,8.482669282,8.101125877,8.114372198,8.036528604
orf19.4910,4.747833361,4.911115411,4.813610841,4.100035532,4.221983575,4.27696029,4.21842727,3.898517645,4.097014161,3.810330093,3.830480537,3.593034541,6.839108731,6.959931722,6.964154522,6.609723193,6.588822777,6.469042459,6.691911449,6.610044277,6.563338874,6.439662834,6.476986036,6.328833675
orf19.4911,1.65451148,1.61472518,1.389215672,2.381265577,1.818955168,1.770239003,0.998164214,1.39264084,1.371396086,1.176763264,1.07121373,1.107910404,3.326602348,3.373588547,3.499281808,3.521243352,3.666262198,3.375106175,3.347294013,3.334514975,3.280487386,3.561876617,3.395330025,3.124991196
orf19.4912,5.114385127,5.591759693,5.182788591,5.283558756,5.358680349,5.148558823,5.288770264,5.282806206,5.341511487,5.015025011,5.223962556,5.040747923,4.927420891,5.091133276,4.932267175,4.904423571,4.96315148,5.041362551,5.00702237,4.882518829,4.797366318,4.944176151,4.862041247,4.69057828
orf19.4913,3.77036273,3.549152457,3.809455416,3.144617857,2.673426092,2.940811797,3.618799572,3.716390206,3.407687761,2.868728065,2.904984643,2.978262497,4.458284327,4.684706703,4.560039032,4.66389277,4.510020423,4.472043186,4.744159574,4.76278162,4.85428379,4.277975675,4.423335744,4.659857772
orf19.4914,-1.635152206,-5.708308745,-0.47555561,-2.747619203,-5.708308745,-2.959656593,-0.960977331,-1.744728968,-2.476889484,-0.787076721,-1.920974538,-0.696040633,0.419812231,-0.426690878,0.782034441,0.520284542,0.766133486,0.050607249,0.801531767,1.464666134,1.288981525,0.798764455,0.803737511,0.853385679
orf19.4914.1,2.998760582,3.472114108,3.266036653,2.613137312,3.305759472,3.270225156,1.91760519,2.387376574,2.87225927,2.339891356,3.202378159,2.625597858,6.377364142,6.173400597,5.994080415,5.251175125,5.86042393,5.300540811,5.6008785,5.328450846,5.170428589,5.578572627,5.41784536,5.441809334
orf19.4916,2.740053755,2.521234249,2.515925367,2.673074214,2.648410993,2.619781822,2.549718743,2.93590048,2.949230842,2.650035125,2.5602072,2.478522097,2.91839117,2.752827961,2.912525173,3.147888827,3.12934969,3.34835598,2.936064286,3.091093185,2.961573533,3.166035073,3.112964146,3.283091579
orf19.4917,0.70850891,0.975928198,0.78180504,0.532664855,0.826754687,0.823606486,0.146926202,0.184193269,1.074294919,0.065585619,0.574174757,0.988728985,0.997882784,0.346103315,0.782034441,1.510632859,1.23110489,1.525188023,1.036170283,1.778725552,1.325225068,1.406240261,1.910677984,1.645246396
orf19.4918,0.412840083,0.441722466,1.013860891,0.397067527,-0.157771643,-0.34913109,-0.137052919,-0.388677086,-1.250203308,-0.383992139,-0.663143251,-0.508994212,5.007225372,5.004940634,5.041825537,4.576749602,4.55834352,4.244341247,4.510850308,4.673895334,4.385880502,4.131555413,4.204378194,4.360208176
orf19.4919,1.226922554,0.975928198,1.274616048,1.153948127,0.73468204,1.142413019,1.258894418,1.628086833,1.128257284,1.176763264,0.574174757,1.589674786,3.060559467,3.056902574,3.091067696,3.027865272,2.995356211,3.25542718,2.924411793,2.941552248,2.93836135,2.937363496,3.013656268,2.961871963
orf19.492,11.18582852,11.41363157,11.25292606,11.42547785,11.39913532,11.33278915,11.11029052,11.16012353,11.03351643,11.42705104,11.43696374,11.32801019,9.676139961,9.713300358,9.704448654,10.23098463,10.1452931,10.39823269,9.283509055,9.401729988,9.361200234,10.29429886,10.27218487,10.1735432
orf19.4921,3.435543179,3.134900485,3.381293214,3.206770291,3.527753207,3.510793188,3.204510589,3.472044655,3.450680008,3.524457598,3.221447538,3.530400409,3.378971536,3.373588547,3.249927936,3.994501468,3.826111135,4.047753308,3.687760032,3.945004438,3.999593281,3.925987244,3.905163282,4.123408876
orf19.4921.1,-2.177883805,-0.982587762,-2.190046716,-5.708308745,-5.708308745,-2.959656593,-0.960977331,-1.352997122,-3.330919196,-1.740231414,-5.708308745,-3.257398189,-5.708308745,-3.556041748,-5.708308745,-5.708308745,-5.708308745,-3.596630599,-1.612849362,-2.419395127,-3.620760513,-1.877586552,-5.708308745,-5.708308745
orf19.4922,4.500098394,4.311948864,4.386881637,4.11091175,4.079532795,4.009317533,4.155757392,4.241533488,4.428062787,3.829413035,4.080714754,3.95282366,5.11407929,5.028433498,5.120328261,5.012733054,5.169085478,5.035784766,5.07973651,5.04288503,5.088450897,4.866223433,4.781313235,5.056766139
orf19.4923,0.175595517,-0.010110829,0.162501519,-0.893766618,-0.157771643,0.154858943,0.146926202,0.060868511,-0.596957802,-0.571502407,-0.001550604,-0.343438793,1.409461923,1.217500987,0.967703198,0.447296181,0.461869021,1.081210961,2.232070817,1.934622987,1.728513816,1.291630346,1.214817803,1.680655136
orf19.4923.1,-3.05813741,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-1.920974538,-3.257398189,-4.050902538,-3.556041748,-3.138036672,-2.638120669,-2.75167471,-3.596630599,-2.294620797,-2.419395127,-2.281942714,-3.842104684,-2.617052194,-1.599397273
orf19.4924,4.982415554,4.38100823,5.079898478,4.931452945,4.580451358,4.820135063,4.685795696,5.043180762,4.912354593,5.284155054,4.931465089,5.367742572,4.57262439,4.353777649,4.48594797,4.524483421,4.538405224,4.500668943,4.763908821,4.882518829,4.704108042,4.32608502,4.75080033,4.5153493
orf19.4927,7.294398236,7.430614798,7.349028486,6.788990634,6.904100801,6.79544314,7.268939513,7.298574334,7.263245962,6.651280081,6.748892343,6.694635167,7.84184147,7.91443951,7.919141564,7.753709459,7.683414926,7.713845513,7.834026116,7.86448946,7.800123849,7.585759971,7.637647431,7.541030255
orf19.4928,5.3288349,5.270884684,5.198590826,4.677162231,4.888860492,4.869570814,5.470332834,5.310143383,5.438143398,4.789994289,4.810745916,4.751427577,5.815268715,6.041063049,5.881843036,5.826932679,5.78965679,5.755545976,6.014858419,5.976071637,5.991266893,5.608806935,5.600054406,5.739152866
orf19.4929,6.77923766,6.535775419,6.677063087,6.805822178,6.762652112,6.799700242,6.495551233,6.748671862,6.672710028,6.991271061,6.874675635,6.941267277,5.409514782,5.236906303,5.334748949,5.825133292,5.53781139,5.935558999,5.494570014,5.623481961,5.421246892,5.764637963,5.699266831,5.780538369
orf19.493,12.49189747,12.90526496,12.48122894,12.93694069,13.0794574,13.0133073,12.58259641,12.40990539,12.44461173,12.86850303,12.89151984,12.72984792,10.90842414,10.94942465,10.88992592,11.46215857,11.50586953,11.60380684,10.57242576,10.5373988,10.56158251,11.64139882,11.60743236,11.44154718
orf19.4930,4.400190116,3.858552049,4.407424295,3.515877331,3.581604215,3.286494833,4.617676069,4.482863262,4.576167552,3.296599624,2.951410273,3.508903158,6.013253552,5.841655905,5.970365614,5.775681593,5.767560305,5.51416796,6.237189878,6.293546375,6.168799375,5.644271095,5.675095994,5.741250581
orf19.4931,8.270457335,8.422878969,8.312647068,8.516609086,8.554758822,8.539323896,8.420659122,8.457841654,8.427869531,8.604407458,8.611777767,8.522061641,7.449043293,7.523536275,7.51684849,7.837320215,7.813956867,7.93034407,7.465751735,7.49023162,7.510555322,7.854081003,7.845052341,7.831276009
orf19.4931.1,10.59918317,10.57298901,10.59689772,10.80830805,10.83609483,10.84866347,10.42797231,10.49166305,10.54310407,11.05725116,10.9501764,11.03117202,9.238187862,8.9791097,9.068715027,9.598983835,9.664121131,9.759621232,8.910714674,8.966360926,8.872841631,9.807170588,9.836360194,9.794533782
orf19.4932,10.14661823,10.30058906,10.22499994,10.40637115,10.39009611,10.36385884,10.2254555,10.26005693,10.21090134,10.34028441,10.31986145,10.24887897,8.003929176,7.951395906,7.955559011,8.594801215,8.438012345,8.774276766,7.85796021,8.009329721,7.899624442,8.729700182,8.705778526,8.607149881
orf19.4933,8.865884269,8.688115863,8.818454803,9.041347851,8.977017159,9.010720234,8.972454992,8.999483212,9.038022903,9.10853558,9.082071287,9.168062199,5.743847733,5.43229334,5.773896723,5.823331657,5.314513428,6.34710985,6.014858419,6.186816491,6.175018929,6.633739279,6.722778155,6.34685467
orf19.4934,-5.708308745,-2.827641339,-3.069327771,-2.747619203,-5.708308745,-5.708308745,-2.204504237,-1.352997122,-1.944061158,-5.708308745,-1.920974538,-1.860028092,8.313695545,8.014519112,8.127940218,7.120967565,7.204382495,6.028359382,10.07976683,9.759750188,10.08914781,8.276641615,8.745009492,7.991857487
orf19.4936,-3.05813741,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.151686868,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745
orf19.4936.1,-0.274703409,-5.708308745,-1.254418422,-1.843387785,-1.522396989,-1.525404504,2.340240077,3.345639331,3.591800289,0.985860799,0.45032776,0.988728985,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-1.15173927,-0.220668116,-1.138346175,-2.548491928,-2.617052194,-5.708308745
orf19.4937,8.873045313,8.827238198,8.860967036,8.987407655,8.939486059,9.038003624,8.890630961,8.963886889,8.924897483,9.042097793,8.959653693,9.017302059,7.674132402,7.601476506,7.692162468,7.697774143,7.574063803,7.801916886,7.714791301,7.767087775,7.764271641,7.834064776,7.834178612,7.681472904
orf19.4939,3.682359193,3.456200192,3.829891799,2.785958267,1.905957898,2.694841667,3.618799572,3.621376094,3.522964959,2.515115605,2.106264386,2.625597858,5.187696675,5.244449295,5.162797318,5.095674639,5.23002176,5.068932513,5.39676564,5.423649708,5.370120489,4.941802821,4.727484536,5.116165594
orf19.494,8.2836019,8.555295278,8.241967085,8.87506693,8.915113844,8.789917025,8.198696517,8.034274985,8.023910546,8.699199186,8.633741412,8.515676126,5.276265958,5.33672929,5.384536045,5.726403804,5.553790549,5.991376155,4.864901638,4.857684218,4.894037748,6.010929568,6.119157035,5.784612365
orf19.4940,8.345349201,8.249056688,8.381756753,8.577665648,8.563984924,8.559966224,8.246469182,8.267443159,8.269548522,8.697901858,8.646584521,8.668311508,6.423112765,6.24533896,6.297630078,6.46238938,6.294092789,6.595754062,6.231290776,6.25602678,6.418829937,6.711030507,6.571677215,6.485954574
orf19.4941,11.3234503,11.49395274,11.53871731,11.75133287,11.88434164,11.89473763,11.63588206,11.73177729,11.82824068,11.91532447,12.10218076,12.00629983,11.21887822,11.13869881,11.15589967,10.94558274,10.80995667,11.06581581,11.26882809,11.22191772,11.26130749,11.02256707,10.93070889,10.8758322
orf19.4942,-1.241702963,-0.671605966,-0.945716652,-2.747619203,-2.068260879,-2.959656593,-1.662570956,-3.155674075,-1.555814683,-1.348426439,-2.820095471,-1.860028092,-1.700985733,-1.822633839,-2.264910495,-1.172474447,-0.898255157,-0.611567321,-1.913831417,-1.495154418,-1.350650524,-0.929195744,-0.437334914,-0.828328621
orf19.4943,0.70850891,1.221638945,1.150121635,0.876494954,0.41689354,1.06907017,1.067895574,0.060868511,0.382022107,0.302531558,-0.407409731,0.176263306,4.360382753,4.695753701,4.385196429,3.727966481,4.235717981,3.321100402,3.229131175,3.419933165,3.039995508,2.946862571,2.761544303,3.506724078
orf19.4945,5.543864213,5.720577396,5.866028229,5.61301608,5.669636441,5.480973994,4.502776796,4.694745048,4.736765911,5.183928795,5.405837862,5.256048033,7.146165773,7.190884998,7.19001972,7.207080832,7.126390377,7.140905306,6.88312642,6.768695387,6.793391322,6.993058181,7.048579136,6.987112761
orf19.4946,-1.635152206,-0.415915508,-0.47555561,-0.893766618,-1.522396989,-1.525404504,-3.082619412,-0.222771549,-0.998150148,-1.040619587,-0.190254942,-0.508994212,0.011633912,-0.872280609,-0.125676418,-0.460603669,-0.452918128,-0.242817925,-0.655676455,-0.93635564,0.105582125,-0.674945258,0.543861074,-0.071281553
orf19.4947,5.74731978,5.107289756,5.728572014,5.163326123,5.147282421,5.288417174,5.984719275,6.062990924,6.401307427,5.693818521,5.722625329,6.032816861,7.533932888,7.155981353,7.251237375,7.052640051,7.23567461,6.90352985,7.075836334,7.146180432,6.995273948,6.873007017,6.868452725,7.206440442
orf19.4948,3.912525642,3.487854396,3.840002447,4.143056928,4.022265784,4.260582118,3.686867403,4.317589574,4.117169648,4.253416005,4.355611379,4.446814016,3.176878285,3.022218026,3.220986957,3.582173239,3.409528382,3.647970774,3.200431429,3.326492938,3.454194052,3.663315865,3.509087028,4.084281852
orf19.4949,8.927893463,9.183163289,8.659481709,8.748888764,9.378635508,9.190061528,8.930661499,8.682022366,8.960427043,9.128895833,8.87938511,8.770083195,7.511301732,6.8628098,6.900555096,6.509087396,7.322762454,7.389109572,6.843458231,6.460457126,7.063240787,8.388049922,8.033501159,7.486426066
orf19.4950,5.436994506,5.392940202,5.351304405,5.326182459,5.242294967,5.351638444,5.126669776,5.039101955,4.965201175,4.823691865,4.884382509,5.210163573,5.72711048,5.920679711,5.926222975,6.010723334,5.77439534,5.94302792,5.838275172,5.923857839,5.861539843,5.671741422,5.633888985,5.873361386
orf19.4951,2.98042631,3.031299077,2.985472002,3.144617857,3.240300912,3.395517685,2.913948687,3.305452279,3.340697373,3.350435374,2.951410273,3.126782556,3.551139845,3.73658608,3.505295428,3.68892387,3.590828012,3.647970774,3.373240806,3.326492938,3.445987932,3.398410996,3.088770656,3.224315994
orf19.4952,6.864187959,6.265970152,6.940522487,7.071044984,6.713751275,6.962969999,6.713827213,7.063788716,6.954304868,7.107220328,6.943762579,7.261946195,6.117967046,6.025094079,6.050688413,5.92259445,5.659102181,5.88216501,6.253580183,6.38135158,6.264064739,5.830263427,5.886341779,5.960571486
orf19.4952.1,5.110175205,4.562911543,4.973702145,3.850361661,4.161384291,4.317110277,4.61185154,4.609292043,4.812884368,4.232063947,3.805423584,4.06018015,5.778917822,5.63527905,5.701102046,5.467324287,5.573518786,5.473485921,5.738663057,5.662242891,5.63845511,5.519321036,5.502697374,5.512291273
orf19.4953,2.695788697,1.777258239,2.38393887,1.313106923,1.464999477,0.99179812,1.715178,1.792180689,2.011407668,1.115893303,1.230295411,1.505341402,3.672665289,3.249133123,3.642578027,3.466887999,3.503024255,3.610938776,3.58788494,3.36616437,3.395746146,3.099454476,3.112964146,3.236264235
orf19.4954,6.333917374,6.328496407,6.40133699,6.258962959,6.124391791,6.152614521,6.415895331,6.21535445,6.281398861,6.161129393,6.214104347,6.193038953,6.19382968,6.148154556,6.168109216,6.304750635,6.188027587,6.311775875,6.016231355,6.08825706,6.161300343,6.314084392,6.169048444,6.172833409
orf19.4955,-2.177883805,-1.929068464,-3.069327771,-2.747619203,-1.522396989,-5.708308745,-3.082619412,-1.0452353,-1.555814683,-1.740231414,-2.820095471,-1.860028092,-1.213580337,-1.822633839,-1.969753213,-1.42312326,-2.230028125,-2.253368014,-0.966778,-1.099695093,-1.350650524,-1.877586552,-2.617052194,-1.294289262
orf19.4956,8.121552401,8.004965506,8.010346547,7.852622653,7.856991938,7.824164296,7.953061623,7.982115006,8.049482798,7.852292372,7.734730401,7.781116558,8.449474604,8.436132304,8.403006647,8.354310043,8.362060521,8.32243771,8.642774338,8.71995545,8.658090972,8.290464503,8.323204668,8.347977586
orf19.4958,3.941248469,3.664448338,3.879751023,4.009941529,3.889791533,3.95945264,3.675743455,3.79589466,3.720338225,3.921215703,4.152020659,4.111003997,4.207885665,4.127730941,4.10932506,4.146331435,4.051042865,4.144218536,4.260469211,4.079961185,4.269798176,4.114798113,3.891241972,4.071000091
orf19.4959,6.002566803,6.132149265,6.047126789,6.098828242,6.040351257,6.041969216,5.991464075,6.173173035,6.077061986,6.140267263,6.028972991,6.109805854,6.562978371,6.56844694,6.562770166,6.520251487,6.480138952,6.568971198,6.438007921,6.390999544,6.31339019,6.452223539,6.621013514,6.485954574
orf19.496,5.470223289,5.776115604,5.476484388,5.570312149,5.583178408,5.650830347,5.338994292,5.306754431,5.286211018,5.493045319,5.506441152,5.471407567,5.72711048,5.900132436,5.705026308,6.148044017,6.219672575,6.099597692,5.782890288,5.618562794,5.649217422,6.001844399,6.033024819,6.09459309
orf19.4960,5.725468188,5.609854366,5.717646411,5.903115574,5.88036003,5.782846551,5.682483493,5.722465726,5.563398677,6.136441522,5.993359645,6.193038953,4.838793227,4.703071651,4.816121155,5.116421671,5.061431111,5.074383841,4.770432279,4.885252025,4.672804944,4.965362243,4.711728666,5.207000824
orf19.4961,8.040909585,7.772528637,8.159089715,8.321489657,8.311046025,8.438277371,8.115210925,8.301043755,8.262025139,8.422759498,8.423909614,8.51500232,7.480674757,7.49904605,7.475328188,7.650292568,7.504342607,7.48073833,7.630345899,7.654643341,7.553677455,7.331694798,7.367954615,7.513679721
orf19.4962,3.087091759,2.896279166,3.310343851,3.67090939,3.594758651,3.704866066,3.419823486,3.004445507,2.887985623,3.781223887,3.753965048,3.396332281,1.218300015,0.997084849,1.100749615,0.838359708,1.190798708,1.244859633,1.078843215,1.062648468,0.709654127,1.066142975,1.02387,0.972457601
orf19.4963,4.758632452,4.38100823,4.486789104,4.782954552,4.645106462,4.733780605,4.41184511,4.440195884,4.45470726,4.972739603,4.931465089,5.103049529,3.904706073,3.562456333,3.264183585,3.962119334,4.0168671,4.149393182,3.844366466,3.693806885,3.631096046,4.014473039,4.087148084,4.161502704
orf19.4964,2.25191715,2.055944875,2.207750482,2.702134029,2.308547197,2.398137408,2.095092909,2.666553508,1.922577113,2.94069356,2.781931115,3.195676577,0.967803081,0.67860875,0.859192141,1.91424793,1.345677634,0.896595536,1.414908448,1.778725552,1.701193198,1.350073103,1.214817803,1.533486732
orf19.4965,2.80400451,3.094348248,2.682507599,3.123290775,3.189181125,3.168554796,3.005645163,2.953344462,2.934161556,3.182498534,3.103056592,3.069195991,2.19947275,1.865256371,1.925184727,1.941079402,2.302907539,1.937826822,2.522228102,1.847611207,1.999161516,1.872830768,2.017068886,1.965409146
orf19.4966,4.945085034,4.881630364,5.158755885,4.340796065,4.505815277,4.175780466,5.011938969,4.941958287,4.849488678,4.46953245,4.439436486,4.48033749,5.551909966,5.484187421,5.381269829,5.550264455,5.323861947,5.520172518,5.561925015,5.520005488,5.762588835,5.520911873,5.441920292,5.57714284
orf19.4967,5.292140815,5.869193538,5.430387052,5.189214285,5.43745898,5.320374089,5.548641389,5.369821434,5.361362606,5.107820598,5.279608205,5.287951567,4.076630147,4.066635435,4.276877026,4.278442739,4.349939062,4.463758978,3.874957726,4.01655552,3.930691161,4.386669743,4.33353291,4.343735496
orf19.4969,7.211346041,7.328324722,7.187177495,6.915346992,6.894824474,6.834695902,7.233343208,7.203370888,7.102359027,6.854742075,6.761975785,6.823215109,7.355581471,7.368216378,7.402685501,7.300049022,7.263875947,7.160900049,7.305985046,7.353326798,7.348313617,7.121814938,7.183210089,7.302619212
orf19.497,6.585112539,6.953575288,6.558079094,6.670851154,6.794355448,6.768185799,6.874478861,6.597390912,6.670438493,6.559975235,6.592896335,6.31881921,6.401475048,6.569448262,6.426808773,6.323990782,6.356914776,6.393641675,6.386917518,6.33711905,6.407253017,6.409922113,6.390561637,6.185213865
orf19.4970,0.518274065,0.785285835,1.443273243,-0.893766618,-0.562584802,0.527639633,0.270378801,1.230402679,0.382022107,-0.571502407,-1.371269253,0.281433184,2.262778911,2.619957542,2.141399481,1.546020553,1.417297709,1.165354442,2.341265491,2.39975112,2.064941615,1.167123784,1.38342132,1.57171002
orf19.4972,-3.05813741,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-2.959656593,-2.204504237,-1.352997122,-1.555814683,-3.151686868,-5.708308745,-5.708308745,-4.050902538,-5.708308745,-3.913536438,-3.475827829,-5.708308745,-3.596630599,-1.612849362,-1.742715356,-1.599679098,-5.708308745,-2.617052194,-5.708308745
