,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24
orf19.1476,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-2.956947123,-5.708308745,-3.082619412,-1.744728968,-3.330919196,-3.151686868,-2.820095471,-5.708308745,-1.358490659,-0.30425409,-1.170611113,-2.111583171,-1.083571946,-0.922993685,-0.085276909,-0.93635564,-1.350650524,-1.23804743,-0.74995212,-0.828328621
orf19.1477,1.558900511,-0.198791747,1.150121635,0.876494954,0.530780011,0.00560709,0.587724107,0.501255984,0.835667419,0.597890723,-0.001550604,1.270036809,3.586211442,3.079570841,3.499281808,2.855231687,2.794826023,2.642850718,3.329733219,3.10053235,3.018020814,2.688324014,2.730605862,3.072640916
orf19.1478,7.369410105,7.196836325,7.331219313,7.022910453,6.861199165,6.894298899,7.533639491,7.473494762,7.554979198,6.954805057,6.916230948,6.956235986,7.989966296,8.076053067,8.019982873,7.894637096,7.937091295,7.847203176,8.343571814,8.330860506,8.299815649,7.818625715,7.842341582,7.896257082
orf19.1479,6.145184135,6.238320749,6.33675589,5.97035101,5.986474207,6.127997411,6.649894198,6.601545722,6.612455661,5.978724484,6.138368547,5.904925991,5.71923281,5.879288287,5.869074763,5.66133283,5.638645879,5.612994645,5.736998686,5.732226802,5.642051475,5.549250994,5.617070881,5.611950418
orf19.1480,8.814736292,8.516974521,8.901357377,8.816059386,8.777321056,8.812563682,8.857787065,8.939476166,8.978442954,9.005861607,8.916425327,9.027259529,7.779082267,7.558248915,7.742988446,7.538886022,7.534349024,7.94194617,7.678398876,7.888867765,7.82446322,8.06205073,8.071034101,7.904704221
orf19.1481,5.686412939,5.919388837,5.742113682,5.858638096,5.811604624,5.797111715,5.881991869,5.890352933,5.838931635,5.704193845,5.73262889,5.764585376,5.040120641,5.051549926,5.076571011,5.077650867,4.892656812,5.405910021,5.042490604,5.169365837,5.187756753,5.215731021,5.301612502,5.090067285
orf19.1482,1.65451148,0.441722466,1.641272178,1.313106923,1.072223747,0.910151921,-0.137052919,0.403112094,1.230479961,1.447675798,1.503883,1.589674786,2.67947492,1.756915888,2.315771236,1.886907971,2.164071663,2.199660381,1.916324173,1.996602243,1.999161516,1.790811715,2.067459865,2.658696265
orf19.1483,3.693657714,2.798691907,3.189026384,3.206770291,3.223461445,3.565151312,3.188946269,3.117080725,3.429344025,3.982169693,3.616666035,3.887688399,3.024483745,2.861464576,2.847738493,3.027865272,3.096999878,3.03830605,2.597534049,2.83248764,2.790651816,3.064975297,2.730605862,3.361551086
orf19.1484,1.558900511,1.8276067,1.083599372,1.386552148,1.406522196,1.624264058,1.134411357,1.230402679,1.180273811,1.397410965,1.503883,1.505341402,2.553491906,2.808168585,2.495691306,2.541288104,2.623716823,2.520386628,2.737289519,2.39975112,2.764493443,2.358952406,2.493192109,2.585859784
orf19.1485,4.658400936,3.87060903,4.745321306,4.07803398,4.271973849,4.317110277,4.171681924,4.176178084,4.316273274,4.851961989,4.608314955,5.063045221,2.83753052,2.665620954,2.543228936,3.064932255,2.886004873,3.485613189,2.69676576,3.033123297,3.039995508,3.229678039,3.160166974,3.638615185
orf19.1486,5.000724723,5.137540577,4.859063159,5.982245979,5.912233852,5.955580314,6.099469398,6.14498369,5.909972106,6.187252204,6.290583289,6.343318352,4.524357677,4.845447512,4.649640582,5.724474475,5.499136146,5.774089847,5.262065605,5.232975242,5.137684892,5.764637963,5.538864636,5.618812281
orf19.1488,2.090335206,2.393357206,2.790720558,2.785958267,3.08116395,2.694841667,2.448778101,2.462396513,1.922577113,2.773409129,2.368230319,2.703365027,1.92985899,2.231936033,1.832559606,2.139460703,2.184742267,2.277346714,1.892599263,1.706385105,1.701193198,2.024080268,2.529595457,2.251015588
