Gene,Mac1.BCS.R1,Mac1.BCS.R2,Mac1.R1,Mac1.R2,WT.BCS.R1,WT.BCS.R2,WT.Copper.R1,WT.Copper.R2,WT.R1,WT.R2
C2_09740W_A,10319,7323,8324,7946,9854,11322,10823,6304,7320,7460
C2_09750W_A,6140,4757,5203,6050,14082,15063,7487,10139,13369,8732
C2_09760W_A,2207,1597,1675,1824,2241,2927,2651,1289,1704,1648
C2_09770C_A,1335,1822,1105,1507,1406,2606,1858,1539,1307,1589
C2_09780C_A,7031,5891,5118,6691,6847,10294,6702,5259,5561,6111
C2_09790W_A,2020,1422,1969,1411,2193,2432,1786,941,1745,1277
C2_09800C_A,1,0,0,0,3,9,2,1,1,4
C2_09810C_A,345,426,299,427,830,854,372,1125,449,373
C2_09820W_A,982,2117,806,1459,1121,3579,913,563,801,2269
C2_09830C_A,4158,2525,3769,2623,6395,6591,6467,3058,5607,3579
C2_09840W_A,795,636,638,678,933,1420,1070,548,976,928
C2_09850C_A,6,5,2,7,12,1,7,46,6,3
C2_09860C_A,174,214,174,199,545,585,199,1556,465,361
C2_09870W_A,1534,1616,1572,1149,2989,2599,2051,1635,1794,1426
C2_09880C_A,321,181,174,272,37,74,215,585,21,28
C2_09890W_A,1461,530,965,796,332,773,2662,1393,303,377
C2_09900C_A,11254,6636,9342,8595,8467,8761,12244,6765,6348,3653
C2_09910C_A,1898,1480,1477,1678,2102,2770,2147,1587,1783,1793
C2_09920W_A,656,297,603,423,277,486,632,355,252,219
C2_09930W_A,4193,2873,3390,3176,3166,4555,4847,8335,2343,3003
C2_09940W_A,30566,21890,21544,28434,13832,33020,37098,17445,15002,32276
C2_09950W_A,31477,18555,23891,24629,15826,29823,32124,20362,16407,22934
C2_09960W_A,1167,1535,995,1210,3091,2165,1252,728,1911,969
C2_09970C_A,13179,9536,10602,10772,12146,16153,17304,10133,9565,10205
C2_09980W_A,2839,3349,2207,3335,3933,6084,2392,5876,3593,4743
C2_09990C_A,7638,3006,5649,4276,4604,9210,15170,14646,3947,5311
C2_10000C_A,6,20,7,25,31,48,25,57,12,24
C2_10010C_A,6767,5963,5309,6164,5633,9511,7408,6435,4830,6315
C2_10020C_A,34,29,19,28,19,33,23,8,25,16
C2_10030C_A,56387,48830,45496,48941,36416,62211,59681,36473,32414,40125
C2_10040W_A,19,12,14,16,19,7,1,10,7,0
C2_10050W_A,8645,10207,6786,9271,10385,15708,9219,9841,9034,10671
C2_10060C_A,1277,967,1000,1032,1505,1834,1023,836,1175,947
C2_10070W_A,6993,2259,3837,1797,1195,15495,4787,705,774,4008
C2_10080W_A,3853,2430,3140,2780,3549,4126,4440,2421,2970,2724
C2_10090C_A,5190,1871,3946,2850,1609,2449,5501,2254,1325,1335
C2_10100W_A,1322,595,923,865,325,1151,2164,1137,232,602
C2_10110W_A,24015,13761,21882,16023,27766,43670,40069,23811,26401,15221
C2_10120W_A,1887,1120,1579,1293,2525,2805,2589,2153,1995,1519
C2_10130W_A,450,314,388,380,452,619,700,467,360,371
C2_10140W_A,935,657,885,677,1132,1205,1448,1055,803,640
C2_10150W_A,13,19,8,17,17,24,23,154,14,18
C2_10160W_A,1512,1002,1170,1144,1371,1265,1336,813,953,795
C2_10170C_A,4177,3402,3827,2856,5790,6173,4824,4391,3774,2665
C2_10180W_A,173,184,157,176,399,445,259,7928,262,225
C2_10190C_A,2028,1464,1745,1509,1885,2459,2564,1599,1329,1299
C2_10200W_A,3450,2960,3039,3150,3653,5183,3573,2433,3161,3041
C2_10210C_A,18382,13995,14289,12264,18875,25006,26959,13173,12940,12452
C2_10220C_A,4509,3483,3829,4031,3193,5725,5075,3379,2987,3591
C2_10230W_A,1934,1191,1578,1298,826,1713,2125,2122,512,1179
C2_10240W_A,9996,13891,6573,13608,7857,16362,6218,6030,14374,17712
C2_10250C_A,8029,5316,6004,6550,4885,8329,10215,5698,4360,5382
C2_10260C_A,3602,4448,3048,4320,5091,6727,3885,4991,4055,4584
C2_10270W_A,11461,5132,9228,7178,6249,6436,11507,5569,4769,3075
C2_10280C_A,13163,10851,9715,13485,13775,16039,13544,8901,12317,13568
C2_10290W_A,18341,15786,14534,19646,18424,24589,18170,11202,17540,16647
C2_10300C_A,104,184,89,157,337,333,138,310,177,177
C2_10310C_A,2403,1754,1943,1904,1198,2272,3380,1730,827,1811
C2_10320C_A,23,14,53,23,106,16,16,10,51,5
C2_10330C_A,257,211,224,221,493,483,276,232,565,425
C2_10340W_A,1850,1141,1683,1182,2764,2985,2925,1611,3253,2105
C2_10350C_A,5519,7399,4653,7247,24606,19985,8413,4588,17363,13413
C2_10360C_A,8905,6280,7472,5666,5744,6396,8762,3969,6152,4029
C2_10420W_A,402,494,366,473,350,882,727,397,278,620
C2_10430C_A,2055,1830,1834,1594,1149,2594,2399,859,961,1757
C2_10440C_A,3680,4001,3202,4143,4645,6909,4150,3552,4304,5224
C2_10450W_A,827,809,644,1033,839,1987,828,672,932,1502
C2_10460C_A,7689,5835,6196,6865,7109,10286,8405,8858,6498,6392
C2_10470C_A,3812,3062,2861,2906,2947,5151,4414,3549,2425,2951
C2_10480W_A,2884,5420,2756,4687,8745,14297,4267,3532,7892,7251
C2_10490C_A,98,62,90,53,52,58,61,50,21,36
C2_10500W_A,7,5,8,0,15,4,3,4,3,3
C2_10530C_A,5561,5426,4350,5930,5017,10143,6845,3252,4018,5634
C2_10540W_A,889,822,630,944,873,1581,1456,803,899,1081
C2_10550C_A,54067,34452,38223,46872,35444,58474,60898,35646,32368,39482
C2_10560C_A,9790,15660,8401,17359,18419,28404,12221,10229,26037,14519
C2_10570W_A,3360,3932,3491,4723,5711,6621,5469,3106,4569,3427
C2_10580W_A,1127,807,817,943,1255,1627,921,2067,1008,942
C2_10590W_A,11794,6176,7861,9134,12328,16427,12083,7937,10756,7216
C2_10600W_A,1076,980,820,1046,2381,2468,1403,2021,2904,1602
C2_10610W_A,3926,3007,2948,4142,3310,5999,5119,3087,3077,3770
C2_10620W_A,262004,190029,196104,228121,230635,313673,294288,123833,204123,208597
