Gene,Mac1.BCS.R1,Mac1.BCS.R2,Mac1.R1,Mac1.R2,WT.BCS.R1,WT.BCS.R2,WT.Copper.R1,WT.Copper.R2,WT.R1,WT.R2
C3_04330C_A,2623,2085,1685,2066,4521,3700,2700,5190,3394,2201
C3_04340W_A,10504,4626,7546,6513,7697,13342,7885,4137,5448,6398
C3_04350C_A,147,101,124,164,101,135,91,141,99,72
C3_04360W_A,2528,2663,2260,2742,3512,4123,2469,1968,2999,2701
C3_04370C_A,7661,3446,5997,5165,4006,5441,9830,4687,3804,3109
C3_04380C_A,19156,9453,15562,11881,10208,12638,20993,10891,9107,6699
C3_04390W_A,20280,18500,15520,18113,18846,31207,25230,14457,14669,17149
C3_04400C_A,7943,5498,6206,6892,4091,8979,9548,6009,4011,5676
C3_04410C_A,7230,7010,6017,8425,6873,10440,7166,5404,6380,7637
C3_04420W_A,4783,5292,3782,6323,4155,8255,4311,3212,4367,5733
C3_04430W_A,38995,22529,34110,28177,56171,62803,64373,33089,51484,35823
C3_04440C_A,1,1,2,5,0,5,3,3,7,0
C3_04450C_A,35,21,15,21,9,41,28,12,10,18
C3_04460W_A,3121,2981,2733,3257,3166,4453,3954,4143,2637,2930
C3_04470W_A,10934,9346,9190,10241,11133,15250,13567,10504,8646,10939
C3_04480C_A,125,92,104,149,104,60,27,434,165,111
C3_04490W_A,4493,3664,4271,4390,3796,5276,5571,3785,2940,3522
C3_04500C_A,225718,151770,171766,188391,201030,268596,258900,116295,171725,175977
C3_04510W_A,3281,945,2732,1200,1007,1292,5365,1426,527,787
C3_04520C_A,10538,8354,8983,7695,13339,12180,16107,13772,14999,9121
C3_04530C_A,6473,3061,4291,4372,3560,6669,3471,2541,1940,3126
C3_04540C_A,2075,1673,1926,2015,1286,2748,3105,1907,916,1867
C3_04550C_A,7929,12416,6381,16968,13492,24498,7285,6183,16922,21899
C3_04560W_A,34428,15107,25339,22192,21191,24296,40690,18614,15895,11757
C3_04570C_A,41,16,53,22,14,13,17,57,6,6
C3_04580C_A,2540,2994,2465,2288,4551,4957,4918,2560,2503,3130
C3_04590W_A,19219,15821,16234,15036,18629,31248,21513,12019,16313,20191
C3_04600C_A,12,7,8,16,15,19,19,2,8,17
C3_04610W_A,1696,1216,1468,1171,711,1305,1822,774,409,751
C3_04620C_A,2229,1479,1941,1773,1963,2890,1818,1265,1555,1128
C3_04630W_A,886,847,604,865,1885,2039,1746,837,1187,641
C3_04640W_A,913,1052,767,1030,861,1415,1066,1685,729,895
C3_04650W_A,153,206,104,126,487,352,200,292,255,187
C3_04660C_A,381,89,311,132,278,309,1015,483,164,78
C3_04670C_A,151740,109024,120824,129397,133998,192870,184382,81758,126611,121849
C3_04680W_A,133227,95346,100441,113724,112259,158196,144649,58452,111358,105008
C3_04690C_A,1060,822,1029,1240,1001,1391,1361,875,1016,977
C3_04700W_A,1230,729,1192,858,905,1404,1549,807,630,838
C3_04710W_A,434,390,449,392,379,716,620,475,314,407
C3_04720C_A,1440,1791,1393,1549,2202,2277,1510,2329,1488,1257
C3_04730C_A,6,2,9,8,39,9,20,102,15,8
C3_04740C_A,1257,1129,1026,1202,1452,1947,1839,2585,1084,1308
C3_04750W_A,796,725,654,697,1223,1394,1136,934,954,889
C3_04760C_A,7869,5122,5609,6428,4216,7142,10841,7559,3530,4338
C3_04770C_A,748,698,718,725,1066,1092,1133,1951,708,641
C3_04780C_A,5449,4985,4130,5304,6072,8650,6033,4513,4721,5746
C3_04790W_A,1416,1286,1252,1263,1770,2093,1549,2519,1211,1289
C3_04800C_A,1131,1540,953,1094,2072,2691,1725,3828,1555,1549
C3_04810C_A,122672,91237,91619,115385,111733,164865,143064,74804,96928,107331
C3_04820C_A,15960,13388,10769,14560,12601,19736,18380,11580,11457,12954
C3_04830C_A,140007,120484,107492,165003,132746,83947,116258,51063,105371,104042
C3_04840C_A,2426,3373,901,3873,107,126,70,69,106,85
C3_04850C_A,0,1,1,2,0,1,1,9,0,0
C3_04860W_A,7122,4375,6217,5238,7105,7722,7657,6699,5663,5782
C3_04870W_A,0,9,5,3,8,13,4,30,6,12
C3_04880W_A,10910,9617,7757,11120,10595,16803,8647,9515,8794,8130
C3_04890W_A,788,597,649,544,1065,902,994,667,751,638
C3_04900W_A,10526,3104,7653,5494,3478,4748,14688,6191,2593,2442
C3_04910C_A,29315,21680,23464,20602,23639,32242,34117,19683,14625,18525
C3_04920C_A,2866,3230,2401,3023,7510,5908,2878,5952,5643,3550
C3_04930C_A,984,869,1213,751,4065,1052,804,709,1096,450
C3_04940W_A,2540,2014,2171,2277,4044,2853,2504,3542,2365,1533
C3_04950W_A,47624,35769,36606,37457,40823,58850,52210,30191,33645,35837
C3_04960W_A,152214,101549,117151,122328,141081,173113,160655,64447,125026,107168
C3_04970C_A,6918,8228,5593,8333,9981,12911,6758,9170,8723,9209
C3_04980W_A,196,93,167,165,121,195,270,119,73,131
C3_04990W_A,4272,2709,3618,3429,2757,4492,6245,3448,2310,3672
C3_05000W_A,13472,11598,10732,12741,13861,20729,16965,12725,11187,13078
C3_05010C_A,2187,1881,1635,2015,1850,3074,3170,1681,1738,2365
C3_05020W_A,1063,897,939,942,1261,1432,1440,1039,936,1064
C3_05030W_A,10307,8629,7960,10075,11239,13164,9106,10235,8233,8031
C3_05040C_A,1027,1399,963,978,2009,1832,1549,1195,1122,1072
C3_05050W_A,2,1,3,1,73,1,7,3,7,1
C3_05060W_A,692,426,636,565,508,733,973,528,351,481
C3_05070W_A,1360,930,1161,933,1148,1452,1815,1109,767,731
C3_05080W_A,30,20,20,22,27,35,52,454,19,26
C3_05090C_A,1130,1699,838,1672,1311,2460,1216,892,1558,2470
C3_05100C_A,133109,82006,103954,104574,105476,156197,164025,65282,99824,97450
C3_05110W_A,1449,1186,1480,1156,736,1607,1724,1568,468,958
C3_05120C_A,3817,2740,2962,3429,3451,4876,4791,3352,2992,3046
C3_05130C_A,77,85,72,70,73,113,106,140,48,91
C3_05140C_A,4244,1715,3461,2689,2286,3077,5933,3677,2135,1916
C3_05150W_A,11460,7841,9367,9397,8349,10039,13650,12673,6454,6154
C3_05160C_A,17399,6584,14085,9652,9550,10845,22632,10691,7612,4426
C3_05170W_A,5005,2529,3502,3853,1580,3303,3677,1155,1250,2303
C3_05180W_A,2353,1980,1954,1738,1737,3528,3135,1973,1433,1998
C3_05190C_A,6105,6722,4548,7406,6537,10207,7215,8371,6452,7585
C3_05200W_A,133382,92003,101489,113342,112876,150668,151759,55788,103046,96464
C3_05210C_A,11764,9754,8836,11901,10553,15509,11891,7298,8097,10625
C3_05220W_A,43709,22660,31431,26028,32000,43825,43559,26375,17633,14335
C3_05230W_A,38,70,32,29,74,276,56,52,73,175
C3_05240C_A,178415,129550,139338,149357,162892,214146,203872,88686,144483,139272
C3_05250C_A,1073,1010,960,1051,1286,1376,1377,468,771,1223
C3_05270C_A,834,1734,700,860,1108,2171,1092,543,741,1083
C3_05280C_A,9000,5593,7002,4623,7380,7236,9195,3569,4908,2508
C3_05290C_A,2486,2089,2182,1770,2097,2983,2607,905,1377,1860
C3_05300C_A,2907,2843,2565,2520,3242,3906,3008,2590,2540,2343
C3_05310W_A,16383,12419,11895,14237,13455,18865,18479,14544,10046,14735
C3_05320W_A,5929,3819,4171,3603,2641,5386,6018,1580,1143,2676
C3_05330C_A,324,243,274,265,344,356,311,243,211,294
C3_05340W_A,511,412,552,381,497,520,559,361,347,267
C3_05350C_A,1657,1398,1797,1493,1301,2189,2898,1351,950,1059
C3_05360C_A,2078,3705,1803,2518,7367,5761,2685,4270,5527,3436
C3_05370C_A,208640,144361,162915,178136,184070,237857,242806,108228,157405,157048
C3_05380W_A,1822,1659,1620,1148,347,1334,3093,1014,201,749
C3_05390C_A,958,1029,918,1171,926,1878,883,661,1099,1478
C3_05400C_A,256,245,236,338,285,473,257,198,280,351
C3_05410W_A,8749,6081,6470,6415,5936,11239,10290,10354,5354,5439
C3_05420W_A,2421,2112,2195,2133,2760,3151,2807,1941,2005,1982
C3_05430W_A,1474,1113,1408,1049,858,1702,1966,1598,663,1141
C3_05440C_A,2358,1430,1823,1787,1283,1626,1939,864,974,922
C3_05450C_A,3495,5354,3186,5879,5423,11186,4319,2542,4462,9303
C3_05460W_A,4081,2418,3369,2664,2843,3928,4991,3315,2032,2215
C3_05470W_A,2249,1768,1994,1650,1632,3045,2736,1368,1426,1753
C3_05480C_A,2,0,1,0,1,1,1,11,1,0
C3_05490C_A,0,0,0,0,0,0,0,0,1,0
C3_05500W_A,32,14,24,28,45,23,17,36,19,15
C3_05510W_A,1102,1107,963,1055,1469,1835,1302,1410,1040,1246
C3_05520C_A,13001,9397,10375,10766,9568,14561,12883,9520,7909,7746
C3_05530W_A,8714,7606,6883,7639,8047,12434,9396,5970,6279,7674
C3_05540C_A,589,266,443,314,353,351,647,281,266,212
C3_05550C_A,1599,1507,1348,1673,2701,2899,1579,1628,2397,1819
C3_05560W_A,9416,8069,6968,8216,11043,14295,10398,17106,9157,8708
C3_05570W_A,4000,2076,3334,2527,1981,3216,5158,3576,1360,2403
C3_05580C_A,198,709,210,227,4110,522,554,156,767,176
C3_05590C_A,14595,11578,11233,13662,13400,20169,16709,10888,12006,15592
C3_05600W_A,122,136,103,185,132,221,88,84,157,178
C3_05610W_A,3200,2032,3139,2464,1848,3771,3067,1778,1433,3130
C3_05620W_A,23,44,13,29,84,67,12,149,77,35
C3_05630W_A,3,7,4,2,2,9,15,1,4,11
C3_05640W_A,7,8,2,4,2,22,11,117,5,2
C3_05650W_A,18447,13204,14253,14700,18749,25300,20835,13381,15134,15538
C3_05660C_A,3,6,6,1,2,9,1,11,1,2
C3_05670C_A,30,27,11,26,11,15,21,13,5,10
C3_05680W_A,2270,2069,1841,2179,1561,3042,2841,2172,1348,2210
C3_05700W_A,13549,9276,9801,10858,7471,13823,15751,11042,6635,9111
C3_05710W_A,18565,34230,13228,27968,31155,44399,28115,26091,22322,22544
C3_05720C_A,2864,2749,2424,2869,2066,3873,4523,2192,1489,2472
C3_05730C_A,5354,3240,4290,3655,2762,4910,7774,2874,2158,3124
C3_05740C_A,2537,2004,2261,2204,1650,2879,2800,2092,1353,1712
C3_05750C_A,46,35,35,43,133,440,56,120,41,37
C3_05760W_A,3064,3106,2372,3273,4163,5337,2852,2527,3354,3540
C3_05770C_A,3634,1934,2933,2451,2009,2896,4394,2373,1665,1855
C3_05780C_A,5330,3686,4421,4789,3818,5266,5398,3414,3466,2937
C3_05790C_A,956,711,860,817,1068,1494,989,651,955,794
C3_05800W_A,1940,1012,1648,1258,681,1517,2586,1284,548,870
C3_05810C_A,1321,959,931,1097,868,2134,690,483,586,830
C3_05820W_A,387,272,361,327,254,371,435,242,143,282
C3_05830W_A,7636,5584,6168,6495,5224,8568,8985,5285,4365,5659
C3_05840W_A,1,3,4,0,1,5,20,1013,0,4
C3_05850W_A,1483,1271,1414,1547,1361,2222,1582,1360,1353,1595
C3_05860C_A,3811,1587,2894,2349,2051,2947,4242,1685,1651,1835
C3_05870C_A,11623,7254,8689,8865,6241,11927,16150,11333,5682,7323
C3_05880C_A,16146,14007,12530,15542,11052,20839,19812,10283,10004,12780
C3_05890W_A,1385,849,1191,989,999,1482,1768,1163,783,1053
C3_05900W_A,1771,840,1622,821,1220,1580,2414,954,622,826
C3_05910W_A,1454,876,1169,1176,554,1307,2017,1593,440,805
C3_05920W_A,3550,1977,2506,2472,786,2224,4677,6007,615,1570
C3_05930W_A,8372,6301,6071,11374,4784,8317,7382,12919,5647,6909
C3_05940C_A,839,545,646,674,611,1052,1219,760,596,749
C3_05950W_A,1252,901,1113,997,533,1399,2273,1548,603,1046
C3_05960W_A,2053,1843,2288,1936,1136,2590,2764,1042,841,1791
C3_05970C_A,6201,5376,4983,5672,6230,9677,7611,6323,4903,6080
C3_05980C_A,387,523,371,567,619,586,397,443,356,399
C3_05990C_A,280,436,245,416,493,684,514,665,406,496
C3_06000W_A,5696,4877,5084,4067,4247,5481,6133,3256,1935,1871
C3_06010W_A,66698,44920,51916,54759,65451,79400,81432,40270,60305,55954
C3_06020W_A,11000,8957,8733,9757,7654,13698,12966,7234,6479,7532
C3_06030W_A,25904,10593,21009,14559,15680,16976,33931,13849,13032,6679
C3_06040W_A,1,13,0,1,7,16,8,8,5,18
C3_06050C_A,6691,3706,5590,5094,5224,5223,5431,2725,4448,2284
C3_06060W_A,5439,2293,4565,2706,2911,4258,8783,4304,2288,1578
C3_06070C_A,9518,6717,7500,8050,4984,10944,12953,7876,4263,7395
C3_06080W_A,1859,2227,1798,2379,1681,2317,2057,2748,1118,1297
C3_06090C_A,4246,2993,3519,3486,3332,5243,5163,3203,2537,2751
C3_06100C_A,20142,10945,16636,13083,11512,13708,23490,13910,7923,7454
C3_06110C_A,4276,3524,3120,3971,3043,4648,4691,4791,2453,3111
C3_06120C_A,11180,8475,9396,9553,7711,12505,15344,7388,6000,6851
C3_06130W_A,2,2,3,1,6,5,4,4,1,2
C3_06140W_A,424,820,479,1062,1606,2135,584,590,2126,1642
C3_06150W_A,2664,1966,2267,2398,1684,3020,3529,2586,1299,1885
C3_06160C_A,81,17,79,65,44,63,136,50,61,17
C3_06170C_A,28,23,18,34,28,65,26,18,23,19
C3_06180C_A,2102,1604,1166,1423,990,1466,1206,1613,1041,925
C3_06190C_A,821,736,741,657,1210,1084,1065,911,630,674
C3_06200C_A,2041,1551,1721,1776,2064,2566,2284,1600,1515,1648
C3_06210C_A,3608,2847,2764,3001,2044,4155,5063,6470,1518,2652
C3_06220C_A,384,207,338,179,308,285,781,454,180,63
C3_06230W_A,6315,4800,5063,5742,6266,6686,6125,8765,4454,3434
C3_06240C_A,2185,1240,1698,1862,1623,1828,1883,798,1461,973
C3_06250W_A,10509,8941,7926,11169,10148,15563,12279,8152,8172,9573
C3_06260C_A,1649,1080,1347,1409,961,1958,2577,1724,936,1231
C3_06270C_A,1450,1677,1215,2112,2708,3663,1353,1199,3208,3286
C3_06280W_A,5955,5954,4656,7447,5418,9843,4412,4136,6038,10181
C3_06290W_A,2122,2807,2001,2384,3963,4876,2915,1680,2788,2860
C3_06300W_A,11138,9390,8426,11363,8573,13598,13920,7384,7359,9023
C3_06310C_A,4747,3318,3506,4055,2237,4506,5404,3025,1649,2663
C3_06320W_A,1161,1266,1295,1070,1438,1847,1215,991,1031,901
C3_06330W_A,602,452,376,557,320,445,387,433,317,295
C3_06340W_A,272,235,192,241,270,517,327,175,274,321
C3_06350W_A,381,280,268,295,297,525,344,331,264,366
C3_06360C_A,14050,12720,10469,13964,10098,23085,16429,21264,9732,14909
C3_06370C_A,7267,2599,5368,4510,4311,6167,9462,4172,4173,2417
C3_06380W_A,11,5,8,10,2,5,16,7,2,2
C3_06390W_A,0,0,0,0,0,0,0,0,0,0
C3_06400C_A,2667,2096,2106,2511,2014,3648,2906,2438,1622,2197
C3_06410C_A,2373,1557,2009,1686,1686,2402,2643,1513,1272,1378
C3_06420C_A,5149,2883,4308,3160,2138,4138,7125,2718,1802,2819
C3_06430W_A,6806,5250,5121,6301,6997,8777,7469,6581,5997,6124
C3_06440W_A,21520,15403,17489,19025,18070,26483,23472,14829,14621,17248
C3_06450W_A,67,99,48,85,355,149,122,97,178,61
C3_06460C_A,185,97,151,102,196,95,156,212,87,42
C3_06470W_A,2607,3270,1976,4586,3706,4046,2684,4900,3236,3210
C3_06480C_A,2127,1943,1658,2457,2421,3124,2496,2698,2206,2554
C3_06490W_A,1316,2854,1084,2743,3734,6469,1047,5925,3303,4763
C3_06500W_A,27302,24056,21828,25595,25349,38812,31882,49572,20454,24981
C3_06510C_A,27,25,15,24,36,28,31,38,29,24
C3_06520C_A,669,499,596,547,864,517,564,338,369,373
C3_06530W_A,371,349,332,322,437,310,344,257,231,267
C3_06540C_A,1542,962,1214,1281,1254,1186,1236,756,1018,542
C3_06550C_A,1484,1345,1313,1655,1849,1989,1183,823,1592,1398
C3_06560W_A,4613,4597,3276,5875,5785,6161,2733,1988,5504,5873
C3_06570C_A,3692,3687,3258,3534,5008,4931,3534,1546,3266,3361
C3_06580W_A,3,9,10,7,39,17,12,39,13,19
C3_06590W_A,17234,12685,13220,17146,17210,21002,20516,9420,14069,14321
C3_06600C_A,1600,1064,1374,1126,2178,1737,1633,1421,1483,897
C3_06610W_A,4131,2744,2947,4013,4075,5181,4479,4417,4168,3039
C3_06620W_A,3877,3208,3122,3982,3463,4327,4715,5384,3228,2790
C3_06630W_A,621,657,518,636,509,1065,1173,811,441,687
C3_06640W_A,542,613,477,576,476,983,968,740,501,656
C3_06650C_A,5571,4106,4488,4546,3159,5693,5513,3090,2941,3772
C3_06660C_A,6,9,3,6,6,23,9,18,7,8
C3_06670C_A,611,908,520,985,385,1310,431,374,227,624
C3_06680C_A,928,776,672,817,1427,1228,845,2142,1170,686
C3_06690C_A,1105,1214,892,1269,1394,2106,1286,1807,1371,1237
C3_06700C_A,16183,28858,13969,32101,23121,42325,14607,12739,25947,41726
C3_06710W_A,3589,6683,3304,6404,5790,8106,3502,2340,4761,4819
C3_06720W_A,4963,2719,3974,3975,2860,3698,6990,3610,2049,2389
C3_06730W_A,315,312,223,318,557,590,365,402,400,228
C3_06740W_A,4244,2150,3730,2653,2077,3683,6970,3547,1652,1341
C3_06750W_A,9903,8865,7655,9803,9052,15761,10317,6070,7673,9126
C3_06760W_A,6597,2156,5270,3397,3853,4015,8027,3260,2999,1317
C3_06770W_A,940,702,807,838,371,1078,1419,768,265,656
C3_06780C_A,43,28,44,39,20,57,72,50,19,29
C3_06790W_A,7,19,10,6,72,106,16,28,23,21
C3_06800C_A,4614,3160,3762,3870,2822,5088,4520,2992,2868,3303
C3_06810W_A,1848,1733,1628,1977,3218,3124,2307,1595,2576,1992
C3_06820C_A,5411,3605,4236,4449,5230,6368,5816,4916,3949,4436
C3_06830C_A,8814,4384,6122,6260,3571,7056,12059,5517,3383,4783
C3_06840C_A,21,12,26,13,41,16,27,70,11,10
C3_06850W_A,16408,11374,12480,14727,6035,25336,15938,20631,5605,16236
C3_06860C_A,3271,5926,2180,6280,7656,11963,3742,6768,8636,10059
C3_06870W_A,1243463,1070248,905794,1343378,632558,1193044,716504,618959,605148,1462756
C3_06880W_A,472,520,357,587,398,853,700,290,389,473
C3_06890W_A,27026,27128,20270,29962,24682,47045,35107,22971,18968,27335
C3_06900W_A,2060,1381,1765,1376,2883,2197,1923,1846,2131,1263
C3_06910C_A,10710,10070,8659,9953,11136,15714,11826,7373,8655,9572
C3_06920W_A,6258,6671,4938,7771,11178,12609,6214,4624,10729,10825
C3_06940W_A,63,92,60,80,194,180,185,244,147,124
C3_06950W_A,855,713,1388,631,776,1003,2522,586,380,492
C3_06960C_A,113,51,97,53,54,71,50,26,20,34
C3_06970W_A,7409,4607,6313,5464,4819,6777,8779,5381,4075,4129
C3_06980W_A,1646,929,1443,1149,954,1597,2117,1036,649,822
C3_06990W_A,906,814,895,742,914,1309,897,611,660,738
C3_07000W_A,7823,6857,6247,7225,8503,11615,8783,6975,6786,6988
C3_07010W_A,1518,2012,1396,1981,4204,4380,1945,1749,3189,3902
C3_07020W_A,21434,20731,16642,22730,21028,35000,28855,15628,15341,23452
C3_07030C_A,1725,1668,1670,1692,2419,2478,2097,1832,1720,1312
C3_07040C_A,2888,2973,2328,2882,3545,4849,2939,2425,3011,3143
C3_07050W_A,2206,1658,1849,1648,2415,2989,2585,1162,2237,1817
C3_07060W_A,13380,8404,11960,8313,18013,18636,22019,14810,17197,8881
C3_07070C_A,122,173,80,86,395,123,62,77,114,38
C3_07080W_A,1540,1673,1445,1506,2207,1826,1433,1108,1432,1018
C3_07090W_A,9303,8922,7922,9304,12021,12581,8636,9395,10036,8649
C3_07100C_A,931,1057,726,866,830,1132,950,676,573,765
C3_07110W_A,3099,2121,2387,2415,1273,2400,3660,1664,1114,1653
C3_07120W_A,331,369,293,286,1063,737,442,251,603,384
C3_07130W_A,7105,4632,6092,4965,4683,7081,8865,4072,3410,3988
C3_07140C_A,1357,1044,1079,1266,382,1555,2279,848,348,1087
C3_07150C_A,197885,136401,151099,162275,166132,232148,215114,85640,166750,145285
C3_07160W_A,706,423,690,450,338,847,1628,546,300,459
C3_07170C_A,8364,6400,6919,6290,5709,10524,10898,5945,4129,5731
C3_07180C_A,6680,5025,5414,5982,4782,5509,4900,3109,2534,2665
C3_07200C_A,3091,1738,2488,2145,2759,3873,3026,2955,2489,1149
C3_07210W_A,3109,2414,2481,2768,2569,4059,3444,2488,2119,2577
C3_07220C_A,10699,5837,8722,7855,8006,10315,12355,7767,7042,7455
C3_07230W_A,6794,5477,5109,6063,5944,8491,8379,5737,4369,4772
C3_07240W_A,4,2,5,2,10,8,3,3,2,3
C3_07250W_A,8171,4618,6298,6299,6043,8364,10165,6578,5463,5878
C3_07260C_A,11338,9716,7999,10055,12687,17176,12692,29870,10759,9790
C3_07270C_A,71567,54606,49864,65551,58627,90455,53609,102575,52936,58015
C3_07280C_A,12808,5771,6012,7539,4953,10920,11547,10745,4726,9738
C3_07290W_A,5292,2379,3742,3206,2498,4208,6411,4377,1998,2456
C3_07300W_A,9012,3561,7109,5347,5316,5570,10561,4411,4875,2513
C3_07310C_A,53131,67639,39688,60583,73321,125082,60675,35026,48740,60981
C3_07320W_A,4639,3948,3944,3788,4462,6337,6756,4196,3977,3776
C3_07330W_A,294,352,232,339,652,629,454,1612,448,544
C3_07340W_A,2439,3714,2211,3734,3000,3483,5354,18025,3259,4821
C3_07350W_A,2785,2434,2309,2802,2986,4336,2619,3204,2795,3005
C3_07360W_A,1296,1013,1140,998,1429,1895,1414,2406,1282,1663
C3_07370W_A,1731,1419,1360,1791,881,2474,2634,2211,778,1587
C3_07380W_A,2481,2505,1703,2367,2971,4005,2324,5763,2358,2625
C3_07390C_A,8872,5222,7289,6734,5408,7254,8338,4584,4843,4015
C3_07400W_A,4246,1946,3354,2807,2493,3608,5842,2894,2284,2364
C3_07410C_A,64753,39248,49458,51359,48242,71745,75520,42367,41668,48276
C3_07420W_A,22091,12369,17575,15201,17415,23117,24634,13304,15494,13966
C3_07430W_A,2059,2216,2072,2036,3012,10205,2991,4793,3416,3791
C3_07440W_A,158726,158291,121120,199336,99162,197788,95670,87497,108180,240223
C3_07450C_A,706,665,542,565,387,985,781,769,475,499
C3_07460W_A,5786,5102,4449,6007,4202,7380,7216,6567,3086,4204
C3_07470W_A,1911,769,1478,855,1084,1890,3759,694,521,944
C3_07480W_A,5471,3801,4351,5251,4201,7046,6044,4371,4073,4832
C3_07490W_A,4192,4624,3384,5686,4989,9156,4611,4666,5017,8526
C3_07500W_A,9009,7059,7445,8180,7054,11991,11851,6215,5223,7563
C3_07510C_A,105,73,64,98,64,79,56,736,48,70
C3_07520W_A,0,0,0,0,0,0,0,0,0,0
C3_07530W_A,0,0,0,0,3,1,1,10,0,0
C3_07540C_A,3978,3190,3166,3275,2479,4920,4697,2166,1945,3305
C3_07550C_A,4041,1809,3381,2806,1991,2033,3665,1464,1343,1146
C3_07560W_A,9508,7194,7806,8245,8988,9143,12738,6681,4876,5988
C3_07570C_A,820,532,768,651,956,945,1058,468,764,674
C3_07580W_A,5867,4208,4391,4798,6138,6878,5418,2981,5839,4689
C3_07590W_A,369,276,298,398,499,570,352,284,523,522
C3_07600W_A,3657,1538,2795,2532,2459,2715,4675,2182,2093,1715
C3_07610W_A,6463,6998,5411,7612,7035,9967,6951,8101,6117,6702
C3_07620C_A,2471,1300,1958,1727,957,1602,2359,1250,796,932
C3_07630C_A,3519,2088,2729,2624,3113,4634,3976,3760,2476,2364
C3_07640C_A,15077,13043,10707,11367,26292,19360,22910,13031,22892,5150
C3_07650C_A,1034,649,1018,735,261,692,1604,703,158,397
C3_07660W_A,1761,1148,1454,1486,482,1591,2273,1453,426,1080
C3_07670W_A,2904,2501,2399,3071,2521,3431,1920,1901,2634,2282
C3_07680W_A,6985,6005,5277,7062,5487,10250,9189,6235,5423,6948
C3_07690C_A,5221,2777,3858,3882,3320,5040,5309,3366,3389,3432
C3_07700W_A,9455,6395,7395,8037,7791,11142,10238,5965,7376,7249
C3_07710W_A,3821,2771,2982,3062,3266,4767,4317,3912,2546,3120
C3_07720C_A,2,2,3,5,4,5,4,3,7,0
C3_07730W_A,5423,4863,4094,4652,4072,5289,4673,4849,3245,3991
C3_07740W_A,7926,5569,6411,7794,8480,12008,9043,5616,5660,6936
C3_07750W_A,16253,6540,12678,10375,6862,11082,20919,10283,6411,6364
C3_07760C_A,188,251,162,283,253,432,240,161,189,222
C3_07770C_A,1762,1290,1313,1832,1419,2944,2262,1294,1179,1846
C3_07780C_A,10030,6836,7977,8265,9674,12792,12193,7771,7675,8157
C3_07790W_A,1921,1295,1795,1314,3923,3190,2588,1136,2524,1788
C3_07800C_A,3646,1369,2742,2347,1264,2295,5416,2457,1174,1255
C3_07810C_A,20446,19920,15373,21361,19750,41379,26166,16726,13937,22780
C3_07820W_A,3033,2361,2135,2773,2451,4123,2905,2033,2210,2559
C3_07830W_A,3159,4278,2263,4391,15181,9872,3572,5373,10892,4059
C3_07840C_A,28,29,4,24,102,64,30,50,92,43
C3_07850W_A,3568,3255,2905,3377,5519,5891,3497,2703,4485,3758
C3_07860C_A,1719,1120,1542,1431,2373,2917,2161,1766,1710,1622
C3_07870W_A,24,15,14,26,44,22,20,7,29,16
C3_07880C_A,709,557,482,611,658,1093,880,874,659,730
C3_07890W_A,1889,1572,1377,1992,1908,2361,1751,1415,1662,1269
C3_07900C_A,1871,1185,1347,1547,1095,2057,2396,1751,1177,1493
C3_07910W_A,82,41,55,78,61,101,84,45,45,58
C3_07920W_A,4897,3745,3811,4775,4601,6612,5548,3956,4317,4711
C3_07930C_A,17,19,13,24,26,48,42,32,34,29
C3_07940W_A,3995,3406,2903,4313,3947,5463,4165,3665,3676,3673
C3_07950C_A,76964,57568,57043,78813,70308,112325,92164,57575,61712,95749
C3_07970C_A,1233,1346,888,2153,1000,2437,1292,819,1015,1706
C3_07980C_A,467,400,358,324,458,853,943,639,282,383
C4_00010W_A,4906,4705,2965,7772,3250,9499,4466,3672,4212,6888
C4_00020W_A,13881,12518,10335,14267,12769,21403,14998,15715,10837,15962
C4_00030C_A,2500,2437,2124,2568,2881,3980,3228,2623,2549,2802
C4_00040W_A,9516,6267,7228,7729,6225,11804,9244,6445,4813,8293
C4_00050W_A,2940,3304,1879,3727,2342,3773,2335,2585,2114,2761
C4_00060W_A,1315,829,910,1178,837,1310,1287,1913,776,1132
C4_00070C_A,9507,9748,7705,10146,11065,15737,10758,9506,9353,10190
C4_00080C_A,80,86,48,106,292,150,86,325,121,108
C4_00090W_A,34,22,46,45,72,92,103,50,81,34
C4_00100C_A,2916,1895,2658,2334,2299,3892,4001,2598,1793,2154
C4_00110C_A,14215,13371,9130,18962,87,158,64,71,108,354
C4_00120W_A,22375,24884,13843,33925,109,233,93,323,89,331
C4_00130W_A,297134,311030,175793,342254,165,747,188,653,127,785
C4_00140C_A,29501,12891,23392,18884,19494,21937,29049,9778,16898,22671
C4_00150C_A,5041,6515,4268,6236,17607,14344,6138,12286,15633,7776
C4_00160C_A,33189,44776,22982,46483,35800,53301,21864,16401,32587,29980
C4_00170W_A,10520,11272,7776,12833,7829,17177,9558,9431,7946,14141
C4_00180W_A,1385,1643,1354,1628,1753,2417,1861,1301,1365,1540
C4_00190W_A,474,509,453,561,323,554,426,383,311,258
C4_00200C_A,30392,8680,19180,7953,9005,10551,55828,68288,6353,13372
C4_00210W_A,1039,661,763,756,520,865,1024,783,360,698
C4_00220C_A,34243,27259,26349,30338,29427,44246,37833,37479,24716,28706
C4_00230W_A,3419,2534,2584,3087,3050,4017,4142,3153,2661,2627
C4_00240C_A,9820,11714,7130,12412,10723,14453,8416,13679,8945,8129
