gene_name,SC5314_count,JL01_count
PNG2,926,1507
CAALFM_C205670CA,175,238
COG4,210,453
YTH1,3300,2844
SET6,108,152
OSM1,23581,12097
CAALFM_C205710CA,46085,37471
CAALFM_C205720CA,644,1249
GWT1,490,375
SPO7,458,283
CAALFM_C205750WA,170,506
CAALFM_C205760CA,2271,2428
CAALFM_C205770WA,140,60
MKK2,1189,930
RFC1,400,1044
CAALFM_C102090CA,104,153
CAALFM_C205800CA,91,518
CAALFM_C205810WA,226,278
CAALFM_C205820WA,310,159
CAALFM_C205830CA,96,148
CAALFM_C205840WA,230,281
CAALFM_C205850CA,158,301
CAALFM_C205860CA,49,65
CAALFM_C205870WA,9,6
CAALFM_C205880WA,0,0
IDP1,2556,1712
CAALFM_C102100WA,23,65
CAALFM_C205900WA,1,5
CAALFM_C205910WA,290,221
COX8,15866,10830
COX9,4925,4664
VPS33,142,179
TES15,75,67
CAALFM_C205960CA,124,80
TES1,136,93
CAALFM_C205980CA,155,191
CAALFM_C205990CA,6,23
HGT2,68,45
LAS1,258,198
SPO72,113,295
CNT,4104,3328
CAALFM_C206030WA,361,472
CAALFM_C206040CA,72,192
tM(CAU)3,0,5
FAA2-1,318,344
CAALFM_C206080CA,999,994
CAALFM_C206090WA,77,92
PMT4,2704,1695
SHA3,1933,2997
CAALFM_C206110WA,185,515
CAALFM_C206120CA,65,28
CSM3,218,265
CAALFM_C206140CA,15,16
RPN10,1580,1362
CAALFM_C206160WA,91,75
ECM17,2113,2704
FGR12,3,3
ILV1,958,867
CAALFM_C206200CA,160,210
CTA2,1555,1049
BFA1,198,203
GAL1,567,684
SER1,8477,4995
MEC3,350,184
CAALFM_C206230WA,479,537
SMD2,171,300
CDC46,722,391
CAALFM_C206260WA,43,93
CAALFM_C206270WA,51,28
CAALFM_C206280CA,7,42
ATP14,12942,8663
CAALFM_C206300WA,209,197
GAL10,986,1101
GSP1,7886,8052
CAALFM_C206320WA,366,235
AVT1,698,285
EFH1,108,41
CAALFM_C206350CA,0,0
MAK16,342,440
SCP1,143,67
IMH3,10236,3419
CAALFM_C206400CA,1,0
CAALFM_C206410WA,32,10
CAALFM_C102160WA,152,70
RTS1,173,722
CAALFM_C206430CA,307,131
CAALFM_C206440CA,583,246
CAALFM_C206450CA,1,0
RTA3,433,64
RTA2,3800,1074
CAALFM_C206480WA,339,206
CAALFM_C206490WA,377,509
tI(AAU)1,0,0
CAALFM_C206510WA,48,71
GAL102,230,96
CAALFM_C206520CA,261,254
CAALFM_C206530WA,29,93
SPF1,1509,1285
CAALFM_C206550WA,140,99
CAALFM_C206560WA,4,2
CAALFM_C206570CA,16473,6377
GIT1,90,238
CAALFM_C206600WA,272,346
CAALFM_C206610CA,591,665
CAALFM_C206620WA,49,83
GAL7,1779,1429
CAALFM_C206630CA,126,200
VAS1,859,1723
CAALFM_C206650CA,60,172
CAALFM_C206660WA,49,36
DBF2,200,431
FRP3,1343,392
PEX22,40,145
AMO2,863,407
CAALFM_C206710WA,121,136
GRE2,847,763
ABP140,309,302
LSP1,10192,5798
CAALFM_C206740WA,96,73
CAALFM_C206750CA,201,383
CAALFM_C206760CA,29,153
CAALFM_C206770WA,138,206
CAALFM_C206780CA,30,143
CAALFM_C206790WA,180,218
CAALFM_C206800CA,37,75
RPL11,33449,22280
PRE2,883,2090
CAALFM_C102200CA,181,80
FHL1,265,329
SPR1,0,12
CAALFM_C206850WA,121,223
LTE1,111,227
PST1,1262,661
PRB1,684,633
CAALFM_C206890CA,461,361
YPT72,587,625
CAALFM_C206920CA,420,392
CAALFM_C206930CA,69,23
CAALFM_C102210WA,209,313
ARE2,799,496
CAALFM_C206950CA,557,465
SPE3,5347,2765
AAH1,135,269
CAALFM_C206980WA,0,0
CAALFM_C206990WA,32,24
CAALFM_C207000WA,233,373
CAALFM_C207010WA,1003,1658
CAALFM_C207020CA,62,87
CAALFM_C207030CA,797,351
CAALFM_C102220CA,446,181
CAALFM_C207040WA,113,185
CAALFM_C207060WA,305,436
CAALFM_C207070WA,1147,743
CAALFM_C207080CA,275,335
OLE2,706,426
CAALFM_C207100WA,591,852
CAALFM_C207110CA,336,276
RFA2,1809,1240
RCK2,852,917
CAALFM_C207140WA,1333,1197
7-Sep,326,357
SMF12,745,1049
AFT2,157,194
CAALFM_C207180WA,131,29
CAALFM_C207190CA,1270,1767
CAALFM_C207200WA,712,882
TPK2,1716,1670
CAALFM_C207220WA,1674,1862
ZCF10,154,65
CAALFM_C207240CA,95,52
CAALFM_C207250CA,15,25
tT(AGU)6,9,0
CAALFM_C102240WA,1487,726
DQD1,2046,1452
CAALFM_C207270WA,525,418
CAALFM_C207280WA,66,28
CAALFM_C207290WA,4277,3539
RPA12,279,513
CCT5,4811,2993
ARP 3.00,2391,1905
TOR1,627,951
NOC4,982,798
MCM3,763,787
CWH8,963,579
CAALFM_C207360WA,274,236
CAALFM_C207370WA,453,500
SSC1,14751,8640
CAALFM_C207390CA,716,1131
1-Apr,8371,16564
CAALFM_C207410WA,621,239
CAALFM_C207420WA,3658,2567
CAALFM_C207430CA,437,336
CAALFM_C207440CA,256,276
RCL1,869,439
AGE3,345,705
TAF4,484,833
YCS4,456,498
LPT1,447,709
HEM15,1963,2238
MED4,110,507
CAALFM_C207510WA,140,125
CAALFM_C207520CA,436,474
CAALFM_C207530CA,2,8
CAALFM_C207540WA,4258,2665
CAALFM_C207550WA,3303,2694
CAALFM_C102270CA,196,67
SWR1,589,587
RNR22,6306,6680
CAALFM_C207580WA,172,116
VMA10,733,2043
MSC7,1283,1097
CAALFM_C207610CA,286,535
CAALFM_C207620WA,5,6
CAALFM_C207630CA,383,916
CAALFM_C207640WA,427,569
CAALFM_C207650CA,210,501
PSY2,44,65
PDS5,378,475
GLE1,253,397
CAALFM_C207680WA,2743,1552
CAALFM_C207690WA,24,52
CAALFM_C207700CA,27,24
CAALFM_C207710WA,9,3
CAALFM_C207720CA,474,89
YVC1,1080,588
CAALFM_C207740WA,1912,905
RHO2,760,152
CAALFM_C102290CA,250,476
CAALFM_C207760WA,306,329
CAALFM_C207770CA,7,14
CAALFM_C207790CA,44,183
CAALFM_C207800WA,722,841
CAALFM_C207810WA,243,651
PHO86,442,432
FLC3,1166,384
CAALFM_C207840WA,5,9
tM(CAU)2,0,0
CAALFM_C207860WA,62,146
CAALFM_C102300WA,219,186
CAALFM_C207870CA,0,0
APM4,150,230
PRS5,1233,1044
GDH2,5789,6032
CAALFM_C207910CA,945,316
CAALFM_C207920WA,986,809
VRP1,917,543
ALG7,1208,1030
SEH1,761,396
NSA1,255,344
CAALFM_C102310CA,465,422
tI(AAU)2,0,0
CAALFM_C207980WA,312,278
tA(AGC)1,3,0
KRE30,8799,5847
BLM3,557,883
CAALFM_C208020CA,718,564
CAALFM_C208030WA,23,20
RPS10,42761,38800
SIT 1.00,199,227
RPR1,116,59
CAALFM_C102320CA,425,483
CAALFM_C208060WA,245,209
MRS4,1945,1117
IFM3,118,60
CAALFM_C208090WA,23,22
CAALFM_C208100WA,1613,758
RAD57,132,181
MAF 1.00,843,829
ARA 1.00,188,532
PHM7,3068,1718
CAALFM_C208150WA,0,0
CAALFM_C102330CA,15717,16314
CAALFM_C208160CA,3889,5080
CAALFM_C208170WA,25,16
CAALFM_C208180CA,100,624
VMA5,368,915
CAALFM_C208200WA,286,333
MFA1,1,0
CAALFM_C208240WA,499,316
CAALFM_C208260WA,31,1
CAALFM_C208270CA,139,149
EAF3,57,165
CAALFM_C100270WA,7,0
tR(CCG)1,48,24
UCF1,18844,24650
TIM22,1468,808
CAALFM_C208320CA,17,25
CAALFM_C208330WA,80,83
CAALFM_C208340CA,7,5
CAALFM_C208350CA,1,2
OPT5,4,2
TEF1,202634,126985
CAALFM_C208380CA,118,116
CAALFM_C208390WA,579,234
TIM21,608,454
CAALFM_C208400CA,5,0
CAALFM_C208420WA,123,102
PGA46,11,2
CAALFM_C208450WA,214,180
CAALFM_C208460CA,47,3
STN 1.00,3,21
RRP8,160,310
DSE1,118,297
RSP5,1129,1287
CAALFM_C208510WA,55,45
PGA5,36,26
CAALFM_C208520CA,3,3
CAALFM_C208530CA,22,107
CAALFM_C208540CA,35,136
MSU1,166,209
SMC2,205,495
ANP1,323,898
CAALFM_C208580WA,0,15
YWP1,4075,24629
GTR1,37,112
ERG9,694,1210
CAALFM_C102370CA,120,99
CAALFM_C208620WA,153,143
CAALFM_C208630CA,130,415
PST2,591,404
CAALFM_C208650WA,2274,1733
CAALFM_C208660CA,47,112
UTP15,523,476
MSH3,103,258
CAALFM_C208690CA,39,68
CAALFM_C208700CA,758,183
PEX17,121,71
CAALFM_C102380CA,30,39
CAALFM_C208720WA,37,153
MFG1,44,99
CAALFM_C208740WA,57,100
CAALFM_C208750WA,27,16
TIF4631,1208,2247
CAALFM_C208770CA,171,34
RPT6,2258,2078
JEM1,210,357
APE3,667,796
IPP1,13714,8464
CAALFM_C102390WA,77,117
SPO11,4,12
CAALFM_C208830WA,923,784
CAALFM_C208840WA,921,867
CAALFM_C208850CA,936,451
CAALFM_C208860WA,279,797
PIR1,1276,1943
BUD20,4,0
CAALFM_C208890WA,11,5
CAALFM_C208900WA,6568,3374
CAALFM_C208910CA,250,201
MNN11,338,234
CAALFM_C208920WA,422,152
CAALFM_C208930WA,833,2055
VPS28,207,225
CAALFM_C208950WA,413,190
CAALFM_C208960CA,404,616
DFG10,495,108
PGA55,226,96
CAALFM_C208990CA,408,261
CAALFM_C209000CA,78,71
STB3,731,399
CAALFM_C102410CA,239,393
CDC47,863,917
CAALFM_C209030WA,378,199
CAALFM_C209040WA,160,859
CAALFM_C209050CA,322,204
ASN1,11490,4108
CAALFM_C209070CA,134,192
FGR18,0,0
CAALFM_C209100CA,72,181
CAALFM_C209110CA,0,0
IFF6,295,143
GSC1,7362,3712
MET10,690,1569
MIT1,342,176
CAALFM_C209160WA,102,225
SLP2,491,434
CAALFM_C209180WA,47,83
tP(UGG)2,1,1
DDR48,956,102
KIS1,722,882
CAALFM_C209240CA,16,71
CAALFM_C209250WA,206,272
CAALFM_C102430CA,1414,1407
GLO2,1154,963
SGT1,878,988
CAALFM_C209280CA,317,259
CAALFM_C209290WA,553,455
MED18,199,245
CAALFM_C209310CA,445,313
PES 1.00,401,1286
CAALFM_C209330CA,1,0
CAALFM_C209340WA,2,3
TAZ1,275,170
RFC52,0,0
CAALFM_C102440CA,123,398
CAALFM_C209360WA,143,238
KAR3,104,133
RRP15,636,816
ABG1,572,853
ERG24,1688,1072
CAALFM_C209420WA,376,147
RPL3,139795,81436
CAALFM_C209460CA,401,738
PMS1,94,224
CAALFM_C209480WA,181,98
CAALFM_C102450CA,152,212
PHO13,483,226
CAALFM_C209500WA,684,572
CAALFM_C209510CA,556,594
CCT2,4147,2111
EAP1,1217,596
CAALFM_C209540WA,25,7
CAALFM_C209550CA,80,74
CAALFM_C209560CA,185,481
CAALFM_C209570CA,24,56
AGE2,520,295
RPL10,24283,19319
CAALFM_C209590CA,317,366
CAALFM_C209600CA,795,485
CAALFM_C209610WA,242,205
CAALFM_C209620WA,598,306
CAALFM_C209630CA,123,10
PMI1,2379,2098
CAALFM_C209650WA,1784,2154
CAALFM_C209660WA,178,774
CAALFM_C209670CA,914,376
CAALFM_C209680WA,389,469
CAALFM_C102470WA,58,34
CAALFM_C209690CA,73,108
YEA4,150,101
CAALFM_C209710CA,1924,1254
SUP35,4036,3168
IPK2,121,154
SSO2,863,790
LEU42,991,557
CAALFM_C209760WA,177,190
INP51,214,200
CAALFM_C209780CA,1723,1917
PMM1,1796,2839
CAALFM_C209790WA,121,107
CAALFM_C209800CA,1,2
CAALFM_C209810CA,117,50
CAALFM_C209820WA,247,477
CAALFM_C209830CA,1891,1567
MTW1,16,37
CAALFM_C209850CA,12,8
CAALFM_C209860CA,48,65
CAALFM_C209870WA,1240,390
CAALFM_C209880CA,9,161
CAALFM_C102490CA,146,387
SMM1,120,155
TIM23,3070,1748
CAALFM_C209910CA,631,269
CAALFM_C209920WA,229,93
CAALFM_C209930WA,164,192
GCN4,1901,2172
FCY21,4206,5781
CAALFM_C209960WA,166,128
CAALFM_C209970CA,1399,1226
CAALFM_C209980WA,884,717
CAALFM_C102500WA,102,123
YOR1,405,665
CAALFM_C210000CA,17,13
CAALFM_C210010CA,1186,1332
CAALFM_C210020CA,0,0
MP65,15088,18193
CAALFM_C210050WA,474,1036
CAALFM_C210060CA,47,48
CAALFM_C210070WA,98,56
RAP1,262,596
CAALFM_C210090CA,55,145
CAALFM_C102510WA,60,91
CWC22,68,118
CYC1,5819,3002
CAALFM_C210120WA,310,451
CAALFM_C210130WA,52,82
CAALFM_C210140WA,91,97
CAALFM_C210150WA,11,27
CAALFM_C210160WA,34,37
CAALFM_C210170CA,77,224
IFR1,31,18
OCA1,109,291
SCW4,3,1
CAALFM_C210200WA,1048,625
RAS1,1523,1019
PHO23,260,424
CAALFM_C210230WA,53,133
GPD1,1758,1632
SET2,57,316
CMK2,343,507
PUS7,217,615
SPT23,1669,1266
SLR1,7067,5397
DIP5,2033,946
CAALFM_C210300CA,41,37
KIP2,23,101
CAALFM_C210320CA,60,33
CAALFM_C210330CA,76,14
HEM4,139,259
ACS1,3314,3220
HEM3,598,914
FGR6-4,25,27
FGR29,56,133
RAD1,436,562
POL93,675,0
tR(UCU)4,52,0
NCE4,278,230
CAALFM_C210460CA,910,906
CAALFM_C210470CA,763,741
MDH1-3,2370,2816
tV(UAC)1,26,0
tF(GAA)4,0,0
KIN3,261,373
CAALFM_C210540WA,533,479
GCN1,15035,9649
ZSF1,12164,9046
PUT4,129,68
SGS1,972,505
UBC15,976,799
GAL4,5809,4809
CAALFM_C210600WA,292,391
GYP5,694,514
RPS4A,43909,30014
CAALFM_C210630WA,356,247
MTR2,1841,1343
CAALFM_C210650WA,92,170
ASH1,1557,978
HNM4,28,6
CAALFM_C210670WA,8016,3898
CAALFM_C210680WA,432,489
TPS3,2511,1713
CAALFM_C210700CA,1333,1255
TIF11,2247,3181
CAALFM_C210720CA,980,667
CAALFM_C210730WA,105,29
CAALFM_C210740CA,1906,995
AKL1,1580,820
CAALFM_C210760CA,1458,612
SNZ1,6726,1439
RPC11,832,508
PSO2,158,48
CAALFM_C210790CA,584,215
CAALFM_C210800WA,152,141
CAALFM_C210810WA,717,494
CAALFM_C210820CA,673,456
CAALFM_C210830WA,1113,534
RDH54,936,351
CAALFM_C210850CA,1665,853
CAALFM_C210860CA,7222,3901
SNO1,520,315
CAALFM_C210870WA,2302,325
CAALFM_C300010CA,1641,14
CAALFM_C300030CA,1619,152
CAALFM_C300050CA,135,9
TLO7,228,154
RPS24,37063,30549
CAALFM_C300100WA,603,344
SEC6,3334,1424
CAALFM_C300120WA,0,0
CAALFM_C300130CA,1303,1035
IML1,225,248
CAALFM_C300140WA,0,0
CAALFM_C300150WA,0,0
CAALFM_C300160CA,2785,2294
CAALFM_C300170CA,5780,3464
DAL1,1266,399
CAALFM_C300190WA,0,0
ETR1,4119,3018
CAALFM_C300210CA,105,74
HGT19,124,91
CAALFM_C300230CA,0,0
HOM6,6306,3236
GLO3,3321,1807
TIM44,9760,5558
BNA4,3629,2124
CAALFM_C300270CA,384,481
ULP3,82,142
RPT2,1866,2659
CAALFM_C300300WA,681,434
CAALFM_C300310CA,380,332
RHR2,47935,38203
UTP8,2098,1768
EXG2,394,126
CAALFM_C300340WA,560,361
TPT1,387,235
CAALFM_C300360WA,584,155
BUD21,386,512
CAALFM_C300380CA,195,178
CAALFM_C300390WA,158,161
CAALFM_C300400CA,114,80
CAALFM_C300410CA,0,10
CAALFM_C300420WA,489,525
EST3,54,24
TOM20,3825,1986
CAALFM_C300440WA,104,66
CAALFM_C300450CA,2007,1866
ATP5,12733,7986
CAALFM_C300470WA,551,457
DOT5,514,460
ESA 1.00,562,466
CAALFM_C300500CA,1024,690
CAALFM_C300510WA,140,120
CAALFM_C300520WA,848,693
CAALFM_C300530CA,116,203
CAALFM_C102650WA,7582,3378
IST1,171,259
HRK 1.00,610,1612
SOF1,589,688
CAALFM_C300570CA,316,503
FLO9,297,201
CAALFM_C300590WA,0,0
IFF11,48,61
CAALFM_C300610WA,231,457
CAALFM_C300620CA,692,469
CAALFM_C300630WA,366,357
CAALFM_C100310WA,1543,1355
MGM101,502,376
CAALFM_C300640WA,1696,1232
NGT1,146,84
CAALFM_C300660WA,221,354
FKH2,245,372
CAALFM_C300680CA,0,0
SWD1,497,339
VPS8,113,152
CHS8,627,507
PMA1,3954,4971
CAALFM_C300730WA,191,236
CAALFM_C102670CA,19,21
LYS144,155,212
ERG4,2082,1137
SCL1,1336,1706
HOS2,224,275
CAALFM_C300790WA,75,106
MIH1,360,278
FOX2,489,645
SCT1,386,420
CAALFM_C300830CA,142,429
CAALFM_C300840CA,933,324
CAALFM_C102680CA,87,136
CAALFM_C300850CA,841,711
CSE4,404,728
KGD1,7571,5160
CAALFM_C300890CA,128,146
AYR1,839,317
CAALFM_C300910WA,14,20
ATO1,161,26
ATO2,1987,796
CAALFM_C300940WA,873,454
CAALFM_C300950CA,29,137
CAALFM_C102690CA,1,4
CAALFM_C300960WA,255,269
tG(UCC)1,0,1
FLC1,296,566
CAALFM_C300990CA,9,13
BMS1,145,794
CAALFM_C301020WA,208,154
ARP 9.00,499,1104
PRM9,16,21
CAALFM_C301050CA,0,0
CAALFM_C301060WA,11,4
CAALFM_C102700CA,1354,1098
CAALFM_C301070CA,48,132
MRPL33,363,605
CAALFM_C301090WA,581,846
CAALFM_C301100WA,155,81
CAALFM_C301110CA,4,3
CAALFM_C301120WA,267,170
CAALFM_C301130CA,95,54
CAALFM_C301140WA,15,49
CAALFM_C301150CA,601,704
MSS4,536,917
FRS2,4885,4206
CAALFM_C301170WA,161,254
CAALFM_C301180CA,257,290
CAALFM_C301190CA,397,443
UTP20,197,750
CAALFM_C301210CA,203,556
CAALFM_C301220WA,145,195
CAALFM_C301230CA,23,16
tR(CCU)1,0,0
PMC1,504,269
CAALFM_C301260CA,602,258
CAALFM_C102720WA,45,227
CAALFM_C301280WA,495,266
NCE103,893,466
CAALFM_C301310WA,159,177
SGA1,45,44
ZCF8,114,82
CAALFM_C301340WA,34,44
URA3,497,382
IRO1,634,400
PGA44,39,9
GEA2,221,446
CAALFM_C102730WA,59,157
END3,128,524
ALI1,962,1009
CAALFM_C301420CA,1025,317
CAALFM_C301430WA,43,255
CAALFM_C301440CA,15,33
MET18,28,147
FOX3,153,346
ARF3,1343,451
RKI1,239,307
RPS7A,40765,28557
CAALFM_C102740CA,75,69
BZZ1,439,479
CAALFM_C301510WA,641,366
CAALFM_C301520CA,167,856
CAS4,497,395
CAALFM_C301540WA,3587,4940
TOS1,9376,3801
CAALFM_C301560WA,449,665
CAALFM_C301570WA,114,155
ZCF7,11,56
CAALFM_C301590WA,218,193
CAALFM_C102750CA,836,893
PPH21,2319,1354
CAALFM_C301610WA,7380,5121
CAALFM_C301620WA,45,161
TFP1,1578,1531
CAALFM_C301640CA,10,14
CAALFM_C301660WA,129,137
CAALFM_C301670WA,1002,994
CAALFM_C301680CA,193,258
CAALFM_C301690WA,577,474
CDC53,518,819
CAALFM_C100320WA,510,449
CAALFM_C102760WA,5202,3780
PPT1,94,345
CAALFM_C301720CA,1055,1537
UTR2,3225,1424
CAALFM_C301740CA,5,5
BRO1,158,231
AFG3,888,1209
CAALFM_C301770CA,106,214
CAALFM_C301780CA,140,159
CAALFM_C301790CA,84,143
CAALFM_C301800CA,173,207
CAALFM_C102770WA,902,715
MNT 1.00,3955,4488
CAALFM_C301820WA,179,517
MNT 2.00,489,489
tV(AAC)2,0,0
CAALFM_C301850WA,617,1039
DBP5,1531,2240
tK(UUU)1,0,0
ALG8,234,242
CAALFM_C301890CA,1306,814
CAALFM_C301900CA,172,47
CAALFM_C102780WA,3015,2417
CAALFM_C301910CA,3699,2204
tY(GUA)2,1,0
PXP2,61,17
CAALFM_C301940CA,3457,666
CAALFM_C301950CA,3440,2356
POX1-3,335,482
CAALFM_C301970CA,3,5
TOM6,1740,413
RNA1,807,1524
RAD50,173,364
TIF34,6553,3619
CAALFM_C302010CA,20,0
CAALFM_C302020WA,1029,868
CAALFM_C302030WA,1786,1324
CAALFM_C302040CA,174,643
tE(UUC)2,0,0
CAALFM_C302060WA,35,20
CAALFM_C302070CA,7,9
CAALFM_C302080WA,58,167
CAALFM_C302090CA,1610,1287
STE50,1007,456
CAALFM_C102800WA,1,4
RPL12,94866,59879
CAALFM_C302120WA,122,249
UTP4,484,630
CAALFM_C302140CA,273,401
ERG6,2151,1674
CAALFM_C302160CA,1875,1409
LAP41,1593,1070
CAALFM_C302180CA,1274,1030
CAALFM_C302190CA,632,1009
CAALFM_C302200WA,14,0
RAD16,608,852
CAALFM_C302210CA,191,512
CAP1,929,963
YCG1,40,240
GPA2,574,553
CAALFM_C302250CA,18,6
CAALFM_C302260CA,135,499
CAALFM_C302270WA,714,214
GFA1,2863,2224
CAALFM_C302290WA,240,247
FGR23,45,14
LYS2,482,789
MEP1,552,408
ILV2,1761,1762
CAALFM_C302330CA,15,9
CAALFM_C302340WA,15,11
CAALFM_C302350WA,72,651
CAALFM_C302360CA,14,40
ALR1,1275,905
CAALFM_C302390WA,24,38
COX7,1024,1509
CAALFM_C302410CA,74,105
CAALFM_C102830WA,48,274
CAALFM_C302420CA,66,78
APL2,428,317
MED7,31,62
HRT1,1525,1267
PHA2,206,251
RPL9B,19245,23196
CCP1,1214,1734
CAALFM_C302490CA,144,687
PAM17,1677,717
SAP8,131,10
PDE2,447,626
tM(CAU)1,0,0
CAALFM_C302530WA,483,345
OXR1,71,124
DCG1,138,157
DDC1,4,37
CAALFM_C302570WA,76,139
CAALFM_C302580CA,54,68
APL5,74,127
SLC1,811,376
GLX3,3115,117
CAALFM_C102850WA,547,439
CAALFM_C302620CA,2143,311
CAALFM_C302630CA,236,12
ZCF1,67,207
CAALFM_C302660WA,1,1
CAALFM_C302670WA,59,103
SLD1,465,412
CAALFM_C302690CA,151,84
SMC3,81,142
CAALFM_C302710WA,4414,2150
CAALFM_C302720WA,18,76
CAALFM_C100330CA,2134,1474
YKT6,432,565
tF(GAA)1,2,2
tR(UCU)1,0,0
CAALFM_C302750WA,0,0
CAALFM_C302760CA,266,262
CAALFM_C302770CA,311,228
SES1,3150,3276
CAALFM_C302790WA,314,62
ADH4,0,0
FAA21,137,212
CAALFM_C302820CA,757,452
YPT7,138,220
TFC4,142,274
CAALFM_C302840WA,31,49
CAALFM_C302850CA,178,138
THI6,159,217
CAALFM_C302870CA,87,43
CAALFM_C302880WA,124,547
CAALFM_C302890CA,302,119
CAALFM_C302900WA,638,368
CAALFM_C302910WA,837,315
CAALFM_C302920WA,573,875
MIA40,2054,1264
CAALFM_C302930WA,57,23
NUO2,6825,5162
MET13,786,755
KRE5,154,426
CAALFM_C302970CA,532,581
CAALFM_C302980CA,967,353
CAALFM_C302990CA,560,377
CAALFM_C303000WA,325,112
DTD2,5348,3918
CAALFM_C303020WA,4,1
CAALFM_C102890CA,477,373
ECM14,987,579
AIP2,5892,2988
PGA18,1170,732
CAALFM_C303060WA,199,167
CAALFM_C303070WA,970,806
CAALFM_C303080WA,357,241
USO5,43,187
CAALFM_C303100CA,277,423
CAALFM_C303110WA,752,342
DAL5,39,65
CAALFM_C102900CA,145,201
CAALFM_C303130CA,124,95
DAL4,132,115
CAALFM_C303150WA,162,302
CAALFM_C303160CA,163,88
SEC13,4538,2728
PNP1,2984,2210
CAALFM_C303190CA,643,519
CAALFM_C303200CA,551,459
CAALFM_C303210WA,661,502
tK(CUU)1,0,0
CAALFM_C102910CA,59,145
CAALFM_C303230CA,567,476
CAALFM_C303250WA,283,216
CAALFM_C303260WA,363,661
CAALFM_C303270WA,523,572
HTA3,5868,6940
NPR 2.00,54,87
CAALFM_C303300CA,1422,876
CAALFM_C303310CA,432,372
RUB 1.00,899,769
CAALFM_C303330CA,62,195
CDC73,979,946
CAALFM_C303340CA,1405,1340
tE(UUC)1,0,1
FCY2,664,384
CAALFM_C303370CA,214,205
CAALFM_C303380WA,157,148
YAH1,367,408
VTI1,549,470
CAALFM_C303410CA,1089,671
NDE1,14309,6408
CAALFM_C303430CA,233,100
MST1,635,416
CAALFM_C303440CA,365,75
BMT7,36,6
CAALFM_C303460CA,19,6
CAALFM_C303470WA,161,92
ALT1,600,414
RSN1,57,130
SKN2,582,402
CAALFM_C303510CA,277,541
PRE9,1671,1666
CAALFM_C303530WA,185,154
CAALFM_C102940CA,647,606
CAALFM_C303540WA,225,337
ULP1,210,344
CAALFM_C303560WA,515,574
CAALFM_C303570CA,0,1
GTT13,2,1
CAALFM_C303590WA,3188,2720
GTT12,23,125
FUR4,174,134
CAALFM_C303620CA,0,0
ECM18,133,110
CAALFM_C102950WA,81,70
DAL9,77,34
HBR3,402,367
IRS4,133,281
CAALFM_C303670WA,84,258
CAALFM_C303680WA,959,741
CAALFM_C303690WA,18,6
CCC1,621,569
GTT11,555,834
PHB1,1632,1948
CAALFM_C303740WA,251,130
HBR1,479,860
CAALFM_C102960CA,382,481
ORC3,430,384
CAALFM_C303760WA,175,235
CAALFM_C303770CA,195,301
CAALFM_C303780WA,0,1
MEU1,1929,1029
PTR22,10709,15552
RAD53,380,287
CAALFM_C303820CA,367,465
CAALFM_C303830WA,771,706
CAALFM_C303840CA,353,342
CAALFM_C102970WA,3252,900
SOL1,293,327
CAALFM_C303860WA,621,466
SAP9,3043,1101
PEP8,471,440
CSC25,519,340
HTB1,14927,12603
HTA1,9548,6954
CAALFM_C303920WA,723,647
CAALFM_C303930WA,284,401
CAALFM_C303980CA,69,47
GOR1,425,197
AAP1,68,26
CTN3,5,25
tE(UUC)6,0,1
ZCF16,173,124
PEX8,62,112
CAALFM_C304040WA,0,96
tA(AGC)2,14,0
HEM13,31432,22265
CDR11,944,483
CAALFM_C304080WA,2922,2110
XOG1,283,1299
SBP1,6394,7796
CAALFM_C304100WA,31,41
MBP1,110,403
CAALFM_C304120CA,569,384
CAALFM_C304130WA,296,483
EGD2,18965,16880
CAALFM_C304150WA,40168,31983
DAL8,54,58
CAALFM_C304170WA,23,61
KRE9,3648,2730
HOL1,187,184
CAALFM_C304190WA,81,1
AFP99,59,21
CAALFM_C304210WA,17,40
URK1,337,455
CAALFM_C304230WA,83,141
WSC1,323,138
CAALFM_C304260WA,256,196
CTP1,594,315
SNF5,290,390
POL1,457,636
RPP1A,58776,31932
CAALFM_C304310CA,12,0
VAM3,96,98
CAALFM_C304330CA,1247,1034
ATF1,397,169
CAALFM_C304350CA,71,16
CAALFM_C304360WA,206,274
CAALFM_C304370CA,645,477
CAALFM_C304380CA,7353,4754
CUP 5.00,7101,5821
NUP85,512,701
RPL13,54269,42968
CAALFM_C304410CA,490,504
CAALFM_C304420WA,466,451
RIP1,10544,6652
CAALFM_C304440CA,26,10
CAALFM_C304450CA,0,2
CAALFM_C304460WA,654,308
PKC1,908,1101
RAS2,53,20
RAX1,813,491
RPL19A,57193,43680
RPS16A,66683,41686
CAALFM_C304510WA,209,224
ADE2,3604,3805
TEC1,280,238
CAALFM_C304540CA,67,183
CMK1,1066,1613
MAK21,269,674
DUR35,9,3
STP1,1164,666
CAALFM_C304590WA,2835,1831
MEA1,198,73
CAALFM_C103040WA,172,139
CAALFM_C304620CA,275,233
CAALFM_C304630WA,149,180
ZCF31,82,52
CAALFM_C304650WA,23,40
ARG11,123,21
RPS15,50950,33365
RPP2B,74458,64513
CAALFM_C304690CA,79,140
CAALFM_C304700WA,820,326
ARV1,31,40
CAALFM_C103050WA,466,286
CAALFM_C304720CA,482,287
CAALFM_C304730CA,0,4
CAALFM_C304740CA,135,59
CAALFM_C304750WA,98,87
SEN1,655,518
ZCF32,181,130
