gene_name,SC5314_count,JL01_count
CAALFM_C101160CA,128,490
PSP1,175,421
CAALFM_C111320CA,2182,2309
SMT3,7048,7248
PRM1,12,9
TOS4,213,364
RPL37B,49081,33672
CAALFM_C111370CA,118,177
NEP1,1043,608
CAALFM_C111390WA,1,11
GIN4,524,364
KEL1,1737,1095
ZCF17,205,281
CAALFM_C111410CA,17,17
KRR1,76,631
CAALFM_C111430WA,46,121
GIN1,78,186
SAM2,10767,4718
DPP1,247,222
PHO84,20030,8935
BTA1,14,13
ARO7,407,448
CAALFM_C111510CA,138,379
CAALFM_C101180CA,15,8
ZCF3,315,573
CAALFM_C111530CA,63,47
CTA3,5151,3808
GAR1,4550,2542
CAALFM_C111560CA,517,247
CAALFM_C111570WA,47,29
CAALFM_C111580WA,1955,553
PLD1,1953,1284
CAALFM_C111600WA,628,303
CAALFM_C111610CA,752,655
CAALFM_C101190CA,761,610
CAALFM_C111620WA,64,31
FUS1,120,45
DPP2,335,237
EGD1,20431,18974
GAD1,2015,1872
CAALFM_C111670WA,7731,3539
CAALFM_C111680CA,39,6
CAALFM_C111690WA,92,61
MRF1,1960,1058
CAALFM_C111710CA,0,0
STB5,260,236
CAALFM_C111720WA,0,3
CAALFM_C111730WA,640,642
CAALFM_C111740WA,44,130
AVT4,180,126
CAALFM_C111760CA,702,1073
CAALFM_C111770CA,511,310
CAALFM_C111780WA,72,9
CAALFM_C111790WA,136,50
CAALFM_C111800CA,103,75
CAS1,183,267
CAALFM_C101210WA,1418,506
tY(GUA)1,5,0
tY(GUA)4,0,0
CAALFM_C111850WA,474,640
CAALFM_C111860WA,2518,1483
MUP1,7567,11204
CAALFM_C111880WA,425,231
CAALFM_C111890WA,491,380
CAALFM_C111900CA,93,45
CAALFM_C111910WA,98,108
CAALFM_C111920WA,89,426
CAALFM_C101220CA,60,42
CAALFM_C111930WA,379,296
CAALFM_C111940CA,75,46
CAALFM_C111950WA,29,43
CAALFM_C111960CA,1856,900
CAALFM_C111970CA,220,210
MED10,130,141
CAALFM_C111990WA,536,731
CAALFM_C112000CA,14,46
KIP4,675,196
SER33,6341,4700
IFD3,206,160
CAALFM_C112040WA,0,0
RPN2,1049,1658
CAALFM_C112060CA,136,49
CAALFM_C112070CA,76,44
LCB4,211,169
CAALFM_C112090CA,0,20
PXA2,137,102
CAALFM_C112110CA,212,81
CAALFM_C112120WA,72,93
ZCF30,75,69
CAALFM_C101250WA,1447,1117
CAALFM_C112140WA,306,269
CAALFM_C112150CA,48,17
MSO1,277,93
CAALFM_C112170CA,163,195
CAALFM_C112180CA,476,252
BUL4,59,84
MCD4,225,193
TRP3,298,543
CDC6,49,129
SNT1,240,421
TRS20,445,223
CAALFM_C112240CA,188,456
CAALFM_C112250CA,885,533
VPH2,93,86
SRT1,159,86
CAALFM_C112280CA,79,186
RBD1,612,397
CSI2,592,753
ATP19,2130,1777
CAALFM_C112330WA,0,0
MRPS9,1380,1375
CTA9,314,409
CAALFM_C112350WA,556,619
RIB3,1648,643
CAALFM_C112370WA,254,251
WRS1,1042,1401
RPL27A,13376,20814
CAALFM_C112400CA,113,136
PKH2,51,196
CAALFM_C112430WA,126,303
CAALFM_C112440WA,116,94
IRA2,621,742
RIM8,372,406
MED22,90,80
CAALFM_C112470WA,11,5
CAALFM_C112480WA,109,82
PEP1,499,542
tW(CCA)1,0,0
RAX2,435,339
GSG1,54,100
CAALFM_C112530CA,41,80
CAALFM_C112540WA,38,133
CDC54,106,301
DLH1,1,2
CAALFM_C101290CA,92,111
CAALFM_C112570CA,297,602
CAALFM_C112580WA,659,587
ATP20,2833,2611
CHR1,58,523
CAALFM_C112610WA,962,1387
SPA2,182,841
CAALFM_C112630CA,3,49
CAALFM_C112640WA,80,215
CAALFM_C112650CA,360,423
CAALFM_C112660WA,94,244
CAALFM_C101300WA,1375,1232
CAALFM_C112670CA,44,154
CAALFM_C112680WA,1918,1524
CAALFM_C112690CA,18,28
CAALFM_C112700WA,130,118
CAALFM_C112710CA,112,289
CAALFM_C112720CA,3,5
RVS162,114,177
CAALFM_C112740WA,66,138
CAALFM_C112750CA,77,87
CAALFM_C112760WA,175,670
MRS7,126,912
RPG1A,1098,1404
RBK1,364,441
FEN1,1789,1364
CAALFM_C112800WA,10,8
CAALFM_C112810WA,108,144
CAALFM_C112820CA,406,636
CAALFM_C112830CA,39,261
CAALFM_C112840WA,35,51
BLP1,1957,1038
CAALFM_C112860CA,51,50
DUT1,1567,1390
CAALFM_C112870CA,4,6
CAALFM_C112880CA,22,113
CAALFM_C112900WA,74,65
CAALFM_C112910WA,217,267
CAALFM_C112920CA,1079,633
CAALFM_C112930CA,38,54
CAALFM_C112940CA,5,0
CAALFM_C112950WA,88,104
BNI1,449,451
SEC2,230,636
CAALFM_C101340CA,128,122
CAALFM_C112980WA,60,5
CAALFM_C112990WA,289,54
CAALFM_C113000WA,246,117
CAALFM_C113010WA,116,248
SPC3,491,448
CAALFM_C113030CA,407,821
CAALFM_C113040CA,78,49
RPL14,24681,20062
CAALFM_C113060CA,2295,1348
FAD3,2760,977
TIF,16949,10803
OP4,0,2
CAALFM_C113100WA,90,0
CHS3,1032,733
MON2,123,234
CAALFM_C113130CA,667,352
TYE7,6851,22178
PSA2,247,204
MSH6,832,496
CAALFM_C113180WA,47,7
CAALFM_C113190WA,8970,5302
CAALFM_C101360CA,1412,1014
REX3,68,107
AKR1,463,766
CAALFM_C113240WA,79,59
CAALFM_C113250WA,54,285
CAALFM_C113260WA,2925,1053
CAALFM_C113270WA,673,767
CAALFM_C113280CA,824,1097
CAALFM_C113290WA,12,34
RPN1,1655,2338
ECM25,96,133
RPS21B,48003,37652
CAALFM_C113320CA,921,558
CAALFM_C113330CA,607,726
STP2,171,567
RMP1,9,13
CAALFM_C113370WA,85,187
CAALFM_C113380WA,29,111
CAALFM_C113390WA,13,63
AGC1,139,486
COX19,337,302
KEM1,734,1431
TRM2,330,323
CAALFM_C113430CA,17,64
OFI1,6,3
HYR1,2090,159
KNS1,56,109
HSP70,1824,3306
CAALFM_C113490CA,114,136
CAALFM_C113500CA,33,48
TGL99,188,380
MCU1,144,299
CAALFM_C113530WA,183,264
CAALFM_C100160CA,6341,3768
CAALFM_C101390CA,137,140
GUP1,87,184
NUP49,133,493
CAALFM_C113560WA,30,170
MPT5,256,213
SEC18,452,755
CAALFM_C113590WA,1,2
CAALFM_C113600WA,3,21
KIS2,572,435
ROB1,1008,2565
CYB2,33,69
CAALFM_C101400CA,571,194
CUP 2.00,239,164
CAALFM_C113650CA,106,141
RAD54,256,276
OSM2,218,213
GCV3,11132,6270
CAALFM_C113690CA,2128,2201
ACT1,26308,19967
DAD1,120,127
CAALFM_C113720WA,172,354
DIM1,271,294
CRL1,878,845
KAR9,62,86
CAALFM_C113750CA,25,69
AGM1,899,854
CAALFM_C113770CA,148,103
MYO2,2027,1273
CAALFM_C113790CA,369,500
DUR32,52,48
CAALFM_C113810WA,775,884
CAALFM_C113820CA,254,120
PDX1,2212,2013
POX18,7,3
CAALFM_C113840WA,730,543
DAL7,6,7
GND1,51973,33893
MET3,1483,2614
CAALFM_C113880CA,198,424
tA(AGC)7,0,0
LCB2,2101,1368
MODF,126,258
DOS2,209,591
SSK1,1658,872
ABC1,594,842
SIM1,16653,23848
CAALFM_C113950CA,109,37
YBP1,701,762
HPC2,98,266
DUR7,240,78
OCA6,337,212
DOA4,807,553
CSK 1.00,0,4
CAALFM_C114020WA,9,12
CAALFM_C114030WA,510,366
CAALFM_C101460WA,296,260
CAALFM_C114040WA,539,434
CAALFM_C114050CA,617,381
CAALFM_C114060WA,522,542
CAALFM_C114080WA,2390,1201
CAALFM_C114090WA,9810,8006
YPT52,409,432
RPL4B,94164,65415
RBE1,1157,1112
FTR1,633,858
SET3,215,460
CAALFM_C101470WA,584,1230
PAM16,2362,1988
CAALFM_C114160WA,125,247
CAALFM_C114170WA,827,770
CAALFM_C114180WA,431,349
