,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
orf19.3304,743.301,729.119,760.505,778.315,829.638,851.221,751.086,722.479
ZCF17,421.204,367.118,549.022,510.286,409.219,376.192,386.298,387.458
orf19.3306,21.0602,21.7457,34.379,32.9882,33.5991,35.2441,34.9551,38.8429
orf19.3307,449.697,482.242,553.19,614.405,566.877,501.079,516.26,560.309
STB5,439.787,514.221,521.936,544.305,452.295,490.352,501.023,505.929
orf19.3309,1002.22,1043.79,763.631,743.265,824.519,712.559,677.621,691.442
orf19.331,354.307,465.613,456.303,477.298,400.604,456.64,471.445,441.838
orf19.3310,537.655,597.366,369.835,391.735,455.699,503.366,456.189,456.375
IFD3,210.602,209.782,153.143,141.231,228.301,213.763,255.441,238.884
orf19.3312,974.964,1079.61,1151.18,1116.44,1038.99,1044.3,1070.16,1132.27
TRS20,755.69,741.911,831.347,822.643,838.254,900.256,905.247,888.532
CTA9,416.249,367.118,455.617,417.845,545.627,459.705,492.06,476.975
MED22,289.887,315.952,351.769,341.914,433.915,456.64,513.571,510.607
orf19.3318,734.629,630.624,517.769,484.514,414.388,393.814,458.898,454.462
orf19.3319,2869.14,3041.83,2390.9,2347.32,3604.58,2927.56,3092.18,2994.79
orf19.332,1181.85,1132.05,1138.67,1083.46,1209.57,1163.82,1057.62,1079.83
orf19.332.1,1496.51,1624.53,1837.71,1607.14,2362.27,2847.87,2750.7,2664.63
orf19.3320,6.19418,2.55831,3.12536,1.03088,3.44606,2.29853,5.37771,6.79751
MRS7,3898.62,3539.43,4039.01,4177.13,4350.65,4366.43,4322.78,4274.67
DUT1,827.542,1001.58,850.099,884.496,643.551,701.816,711.65,795.309
orf19.3323,227.946,230.248,200.023,199.991,259.316,259.733,305.633,283.553
TIF,22116.9,21711.1,27090.7,25138,20050,18441.8,15491.4,16877.3
orf19.3325,6855.72,5942.96,5012.04,5136.88,5669.63,5288.14,5163.49,5130.18
RPS21B,13347.9,15869.9,12414.4,14693.3,6603.86,7358.84,6838.35,6721.37
TRM2,913.022,834.01,912.606,870.063,646.136,653.547,566.452,500.103
orf19.3328,1371.39,1294.51,1373.08,1404.06,758.994,806.016,784.249,683.636
orf19.3329,1486.62,1512.63,1299.37,1295.06,1017.95,1074.98,1001.84,1026.01
FCY2,944.224,923.136,746.822,696.223,468.663,444.921,393.774,444.859
CRL1,607.029,684.349,605.279,630.899,480.725,583.059,509.089,508.843
POX18,4.95534,7.67494,4.16715,4.12352,5.16909,6.89558,4.48142,5.82644
ABC1,1471.74,1322.65,1051.16,1041.19,905.452,931.669,805.76,807.933
orf19.3332,1180.61,1213.92,1036.58,1028.82,1019.17,872.673,894.492,950.681
orf19.3333,2312.91,2257.71,2107.54,2174.13,1504.2,1418.19,1458.25,1381.84
RPS21,39290.9,39752.4,42799.8,43718.6,25245,22206.1,20380.6,21797.7
orf19.3335,3930.82,4235.29,2939.93,2850.39,3760.51,3188.82,3121.76,3090.93
orf19.3336,2.47767,0,0,0,2.58454,2.29853,0.896284,1.94215
orf19.3337,27.2544,34.5372,12.5015,13.4015,1.72303,2.29853,1.79257,0
#N/A,56.9864,33.2581,12.5015,14.4323,4.30757,15.3235,5.37771,3.88429
orf19.334,2042.84,2366.44,2496.12,2314.33,3172.1,3860.76,3505.37,3309.42
SOD2,2187.78,2485.4,2469.04,2450.4,3106.62,2772.79,2919.2,3129.77
orf19.3341,5272.48,5515.72,6177.8,6038.9,4802.08,4751.05,4624.83,4565.02
orf19.3342,932.593,960.41,828.791,898.282,1070.82,990.998,1073.56,1011.22
