,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
orf19.4801,589.686,576.9,603.973,571.361,742.772,708.083,771.701,689.613
FTH1,1205.39,1240.78,763.894,795.587,1621.22,1476.28,1623.17,1676.89
orf19.4803,0,0,0,0,0,0,0.896284,0
LIP2,2.47767,2.55831,1.04179,3.09264,0.861514,0.766175,0,0
orf19.4805,745.779,740.632,784.467,836.044,564.292,554.711,523.43,597.21
orf19.4807,255.2,280.135,303.16,303.079,312.73,334.052,308.322,400.082
NUP188,2242.29,1992.93,2511.75,2496.79,1891.02,1762.97,1900.12,1769.3
ERG12,1827.28,1908.5,2349.23,2435.97,1452.51,1336.21,1289.75,1425.54
GCD1,3085.94,3177.43,3152.45,3189.55,2820.6,2408.09,2265.81,2258.72
orf19.4811,2015.59,1976.3,2335.69,2295.77,2388.98,2198.16,2347.37,2282.99
orf19.4812,468.28,518.059,519.852,552.552,273.1,360.102,391.676,380.661
GUA1,7410.71,7460.04,7523.79,7429.56,5000.23,4391.72,4012.66,3949.36
orf19.4814,11.1495,8.9541,8.33431,13.4015,9.47666,13.7912,12.548,3.88429
YTM1,2364.94,2658.09,2289.85,2234.95,1314.67,1243.5,987.705,954.565
orf19.4816,1896.66,2013.39,2055.45,1900.94,3545.13,3139.02,3613.82,3747.37
RAM2,449.697,532.129,470.888,449.464,575.492,596.85,610.37,625.371
orf19.4818,872.14,825.056,798.01,831.921,870.13,740.891,775.286,688.491
orf19.4819,14.866,6.39578,13.5432,8.24705,25.8454,36.0102,24.1997,28.1611
RPT4,3709.07,3588.03,3499.37,3343.15,3857.49,3804.41,4016.25,4084.34
orf19.4820,754.483,763.748,926.839,925.334,780.733,807.933,794.822,783.425
LIP1,59.4641,51.1663,46.8805,50.5132,106.828,99.6028,85.147,107.789
LIP10,2.47767,1.27916,0,0,0,0,1.79257,0
LIP6,279.977,289.089,314.62,320.604,280.854,268.161,295.774,361.239
orf19.4824,1039.38,1102.63,1301.19,1165.93,1042.43,1132.41,1231.49,1202.19
orf19.4825,525.266,486.08,564.649,566.984,954.558,1127.04,1080.02,1046.82
IDH1,15860.8,16474.3,14275.6,15102.4,11814.8,10625.3,9734.54,9851.54
ADE12,10777.9,11296.2,9483.4,9920.17,7071.31,5780.79,5790,5549.69
orf19.4828,1884.27,2000.6,1824.17,1773.12,2148.62,2178.24,2345.58,2247.06
DOA1,3399.36,3347.55,2922.22,2965.84,2224.43,2056.41,2169.9,2235.41
orf19.4830,474.474,518.059,580.276,561.83,702.996,872.673,746.605,657.417
MTS1,8571.5,8625.35,7643.6,7892.42,7228.97,5984.59,5547.1,6142.04
MLS1,5174.62,4812.19,2352.36,2337.01,4461.78,3961.89,3924.83,3771.65
orf19.4834,4.95534,3.83747,2.08358,0,12.0612,6.1294,6.27399,3.88429
orf19.4835,2755.17,2731,2553.42,2729.77,1413.75,1564.53,1330.09,1073.04
URA1,7327.71,7164.56,6549.72,6741.96,5201.82,4607.01,4182.06,4609.69
DAM1,0,0,0,0,0,0,0,0
orf19.4837.1,329.53,301.881,340.665,374.21,274.823,323.326,388.091,286.467
orf19.4839,1268.57,1334.16,1205.35,1277.26,901.144,883.4,835.337,944.855
MRPL40,2187.87,2305.03,2468.29,2537.54,1678.99,1712.96,1610.16,1565
SHY1,1060.44,982.392,1084.5,1071.09,1047.6,1101.76,1003.84,994.379
orf19.4842,652.866,791.798,625.073,581.417,889.944,1132.41,1057.58,1198.3
orf19.4843,453.414,406.772,500.058,406.167,389.405,391.515,447.28,365.124
orf19.4844,1072.83,1101.35,1082.42,1051.5,660.782,570.8,501.919,438.925
TVP18,879.573,1023.33,634.449,715.431,1076.03,1042.76,1069.27,1230.35
orf19.4846,1066.64,1033.56,1070.96,1109.52,720.226,686.493,584.377,621.487
orf19.4847,594.641,593.529,574.025,620.299,403.189,362.401,314.596,339.876
SKI3,2642.44,2711.81,2740.94,2788.53,2013.36,1804.34,1932.39,1883.88
orf19.4849,915.499,970.88,881.353,837.075,939.051,1036.63,939.306,883.677
orf19.485,400.054,335.154,488.301,476.757,653.5,570.666,627.865,664.581
orf19.4850,2519.79,2343.42,1905.43,1787.55,3304.77,2997.28,3062.6,2740.37
TFA1,2091.15,2133.63,1870.01,1921.56,1894.47,1570.66,1467.22,1397.37
HCM1,282.454,254.552,296.91,297.925,178.333,187.713,162.227,137.892
BUD31,272.544,261.63,363.602,364.932,413.863,517.934,498.334,548.657
LIP3,17.3437,17.9082,8.33431,13.4015,20.6763,23.7514,16.1331,31.0744
orf19.4857,514.117,567.946,647.992,607.189,690.073,744.722,803.967,716.652
VPS41,903.111,804.59,806.344,890.681,800.347,730.931,806.656,883.677
NIP100,514.117,451.542,669.87,686.567,536.723,476.561,654.653,610.805
orf19.4861,37.1651,47.3288,53.1312,37.1117,58.583,75.8513,42.1254,78.657
orf19.4861.1,0,0,0,0,0,0,0,0
orf19.4862,751.973,779.006,1008.45,1017.48,704.719,889.529,857.744,890.474
PET100,463.324,515.5,589.652,571.108,922.654,1120.91,1098.84,1275.99
PDC2,872.14,768.773,952.194,890.681,833.974,905.619,1054.93,894.359
orf19.4864,524.027,532.129,540.688,519.564,1247.47,1173.78,1398.2,1228.41
orf19.4865,1103.8,1155.08,951.153,875.218,1510.23,1495.57,1757.61,1760.56
CPP1,628.09,637.02,606.321,610.281,516.909,550.114,575.414,503.016
SWE1,989.83,1009.25,1324.11,1303.03,658.197,668.871,736.746,729.276
SFU1,841.567,676.108,882.962,878.041,583.474,674.993,658.462,530.722
SPT14,530.222,473.288,567.775,538.12,503.986,520.233,514.998,497.19
DBP3,2616.03,2515.18,2226.7,2303.44,1728.41,1793.82,1494.44,1316.64
ERO1,2335.2,2196.27,2613.92,2655.37,3304.59,3764.55,4125.22,3732.43
orf19.4872,1.54E-52,2.81024,2.30E-128,5.09E-82,0.604591,2.53647,2.13891,11.6526
orf19.4873,37.1651,46.0496,19.794,25.772,125.781,116.459,100.384,82.5412
MNN23,1103.8,1139.73,1265.77,1136.03,1551.59,1485.61,1446.6,1427.48
orf19.4875,760.645,736.794,749.046,695.845,1240.58,1133.94,1101.53,1019.63
orf19.4878,1929.07,1718.88,1653.99,1706.11,1369.28,1317.07,1274.52,1354.49
NTF2,7646.03,8353.99,8150.78,7318.22,7687.16,10407.8,7819.18,10150.5
MEX67,261.436,792.031,737.077,641.559,497.703,527.849,465.316,557.015
orf19.4880,152.377,163.732,179.188,180.404,152.488,135.613,130.857,134.979
orf19.4882,3083.46,3149.28,3015.98,3417.37,2948.1,2713.79,2515.87,2645.2
orf19.4883,521.55,515.5,375.044,357.716,893.39,818.275,920.484,963.305
WOR1,18.5825,8.9541,47.9223,44.3279,18.0918,27.5823,27.7848,24.2768
MIR1,6282.4,5908.83,6583.79,6530.83,4546.16,4564.96,3964.51,4027.83
orf19.4886,38.4039,40.933,12.5015,5.1544,31.876,39.8411,31.3699,26.219
ECM21,681.36,662.603,446.927,424.723,553.954,527.895,506.401,459.318
orf19.4888,583.492,663.882,731.335,704.091,644.398,689.555,673.109,709.852
orf19.4889,977.452,954.25,1539.76,1475.22,1360.34,1324.64,1371.64,1462.27
DAP1,3026.62,3108.92,2449.57,2425.96,3849.63,4195.14,4026.11,4399.24
CLA4,1215.3,1086,1278.27,1430.86,1156.15,1297.13,1165.17,1226.47
TPK1,1219.99,1238.22,1312.65,1157.46,1292.97,1706.8,1602.96,1453.46
orf19.4893,1627.83,1541.38,1297.03,1367.98,1609.31,1441.18,1499.48,1381.84
orf19.4894,340.68,385.026,251.071,293.801,367.867,327.157,316.388,389.4
orf19.4895,375.367,359.443,438.593,449.464,392.851,448.979,428.424,368.037
RPA34,1243.79,1114.15,1275.15,1219.53,1020.89,1061.92,885.529,890.474
SFH5,963.814,967.043,1014.7,999.954,1336.21,1113.25,1271.83,1424.56
orf19.4898,1948.69,1982.69,1682.49,1592.71,2419.13,2333.77,2346.47,2540.33
GCA1,5863.41,5725.51,3510.83,3597.77,6628.49,5971.57,6143.13,6024.54
NAT5,821.348,876.222,820.929,742.234,928.713,880.335,889.114,936.115
MNN12,475.713,487.359,525.061,522.657,403.189,401.476,443.661,459.318
orf19.4901,103.168,122.387,105.221,103.181,218.947,214.324,263.966,308.402
orf19.4903,506.107,605.663,336.498,367.687,372.532,491.833,515.223,489.549
orf19.4904,371.642,354.323,428.176,412.357,510.515,523.815,648.014,656.004
orf19.4905,516.603,537.249,584.442,591.721,781.756,737.309,822.788,827.796
orf19.4906,4138.95,3948.76,4077.56,4332.79,2948.96,3656.95,3535.84,3066.65
orf19.4907,3249.47,3214.52,3806.69,3822.51,5369.82,4950.26,5522.9,5320.51
orf19.4908,6.19418,7.67494,8.33431,13.4015,14.6457,14.5573,16.1331,18.4504
CBK1,2149.38,2142.59,2455.49,2636.99,1491.28,1625.82,1574.77,1600.33
RPL42,31413.2,34671.5,25133.1,26336.9,21932.4,23680.2,23669.1,28409.7
orf19.491,3876.32,3988.41,3948.38,4055.49,3614.05,3348.19,3518.81,3585.2
FGR41,2321.58,2120.84,2357.57,2416.38,1172.52,1249.63,1140.07,1151.69
orf19.4911,493.057,523.307,537.563,486.576,354.944,456.64,442.764,474.855
orf19.4912,1269.81,1190.76,968.863,1076.24,721.949,692.622,639.051,621.487
orf19.4913,1179.37,1355.91,1152.22,1203.04,1354.3,1519.33,1842.76,1835.33
orf19.4914,263.872,214.898,225.026,162.879,508.294,502.611,589.755,579.731
BLP1,2509.88,2908.8,1211.6,1233.96,11247.1,11225.2,12893,13284.3
orf19.4916,278.738,235.365,214.608,234.01,228.301,215.295,204.353,222.376
orf19.4917,30.9709,28.1414,27.0865,32.9882,43.0757,26.05,34.0588,28.1611
orf19.4918,210.602,211.061,220.859,199.991,326.514,283.485,374.647,367.066
orf19.4919,268.827,317.231,284.408,301.017,319.622,349.376,345.966,361.239
ADE17,16438.2,14075,12590.4,13021.7,9278.32,9478.76,8319.72,8361.28
orf19.4921,292.365,296.764,287.534,315.45,317.037,235.982,272.47,316.57
orf19.4921.1,28.4932,44.7705,28.1283,18.5559,81.8439,89.6425,69.0139,61.1776
orf19.4922,687.039,837.993,581.798,560.745,917.786,1003.01,963.09,1062.37
orf19.4923,56.2842,72.1827,71.8902,73.9574,126.269,107.911,115.495,138.707
orf19.4923.1,4.55053,3.66133,4.07977,7.46516,4.78478,4.05997,1.25451,10.3065
orf19.4924,951.426,1036.12,1148.05,1078.3,923.543,917.878,990.394,936.115
BNI1,3294.06,3112.19,3377.48,3503.96,2892.97,2856.3,3014.2,2984.11
SEC2,1057.8,983.199,1234.95,1165.53,1536.48,1496.8,1749.67,1457.36
orf19.4929,1077.79,1054.03,1278.27,1217.47,852.899,918.644,1005.63,940.97
RPL15A,28514.7,32277.7,37730.8,37703.7,17292.3,16638.2,15971.9,19325.8
SPC3,1539.13,1737.42,1677.55,1687.68,1739.31,2043.24,1940.13,2107.05
orf19.4931,4125.47,4170.64,6023.89,5884.36,4411.4,4110.11,4393.74,4291.04
RPL14,16604.1,17781.6,22827.7,21665,16535,19328.3,19238.7,19323.4
orf19.4932,4907.03,4561.47,5232.9,5370.89,3595.96,3352.02,3129.82,2887
FAD3,1415.99,1444.17,1147.01,1215.41,664.228,639.756,466.964,400.082
OP4,11.1495,8.9541,4.16715,6.18529,6.89212,8.42793,12.548,15.5372
orf19.4936,1.23884,0,0,0,3.44606,0.766175,6.27399,0
orf19.4936.1,0,0,2.08358,3.09264,2.58454,2.29853,5.37771,0
CHS3,3662,3369.3,3844.2,3973.01,3005.82,2982.72,3136.1,3109.38
MON2,1190.52,1280.44,1358.49,1424.68,1431.84,1368.39,1771.06,1648.88
orf19.494,1636.5,1492.78,1631.44,1834.97,790.87,973.809,749.294,555.454
orf19.4940,2296.8,2255.15,2621.14,2649.36,1874.66,1746.88,1695.77,1754.73
TYE7,5563.61,5464.56,5207.9,5070.9,7782.06,8110.73,8079.11,7462.7
orf19.4942,109.018,110.007,85.4266,88.6558,143.873,138.678,124.584,124.297
PSA2,5234.08,5611.66,3235.79,3083.36,7542.56,6827.39,6606.51,6797.51
MSH6,1704.64,1674.42,2004.4,1981.35,1456.82,1344,1326.5,1290.56
orf19.4946,30.0523,23.476,30.4125,17.9938,29.1632,37.0787,42.0016,27.8404
orf19.4947,2027.65,2112.72,1838.56,1923.15,4017.36,4588.19,5300.75,4642.99
REX3,365.456,353.047,450.053,429.877,781.405,845.857,864.018,672.02
orf19.4949,6144.62,6568.47,4251.54,3935.9,6064.2,5590.01,3900.63,5186.5
AKR1,1038.14,1005.42,878.227,854.6,849.453,868.076,810.241,870.082
orf19.4951,242.812,278.856,238.57,223.701,365.282,391.515,469.653,428.243
orf19.4952,1649.94,1911.18,1549.84,1618.81,1915.49,1958.47,2118.73,2347.54
orf19.4952.1,2150.31,2279.69,1274.43,1252.42,3189.59,2387.14,2523.1,2552.53
orf19.4953,644.689,663.527,771.984,670.873,1756.02,1922.47,2247.01,2013.97
orf19.4954,657.822,590.97,941.777,922.638,1530.05,1707.8,1682.33,1940.2
orf19.4955,9.91068,7.67494,13.5432,8.24705,23.2609,36.0102,19.7183,33.9876
RPN1,7227.37,7030.25,6845.59,6907.93,8221.43,7866.32,8562.2,8256.07
ECM25,288.649,301.881,352.124,266.998,423.004,494.949,355.825,430.186
orf19.4959,1892.94,1818.96,2376.32,2421.54,1483.53,1439.64,1473.49,1303.18
orf19.496,2.35807,1.08E-21,9.68282,2.23E-08,1.27E-24,1.79E-14,0.00166368,68.7763
orf19.4960,848.602,901.806,914.69,890.681,1120.83,1188.34,1188.47,1273.08
STP2,2496.25,2432.96,2374.24,2422.57,1859.15,2265.58,2256.84,2059.65
RMP1,130.078,141.986,206.274,167.003,242.086,286.549,250.96,266.074
orf19.4963,573.581,676.674,537.563,480.39,916.651,942.395,1069.27,1165.29
orf19.4964,188.303,203.386,233.361,226.794,318.76,325.624,334.314,287.438
orf19.4965,148.66,162.453,175.02,163.91,229.163,255.902,281.433,226.26
AGC1,396.427,442.588,596.945,542.243,536.723,626.731,725.094,707.913
COX19,397.666,451.542,428.175,395.858,824.469,878.037,838.026,890.474
KEM1,3363.44,3162.08,3329.56,3467.88,2903.3,2836.38,2998.97,2895.74
EAF7,2206.18,2023.09,2124.53,2026.6,1662.25,1484.95,1196.65,1255.15
orf19.4970,334.486,368.397,219.817,210.3,706.442,711.01,759.153,799.194
orf19.4972,14.866,6.39578,30.2119,23.7103,16.3688,10.7265,8.96284,14.5661
HYR1,245.289,207.223,191.689,204.114,158.519,177.753,154.161,127.211
orf19.4976,2.47767,2.55831,0,0,1.72303,3.0647,4.48142,2.91322
KNS1,617.158,567.972,352.403,343.869,1336.74,1228.24,1300.35,1145.43
orf19.498,2470.29,2518.33,3057.23,3006.98,2137.59,2353.6,2161.75,2178.04
HSP70,70925.8,69895.7,55386.6,57005.1,106753,89533.5,100207,97044.4
orf19.4981,235.379,266.065,304.202,290.708,497.955,561.606,622.021,555.454
orf19.4982,333.247,358.164,417.757,349.469,457.464,547.049,677.591,638.966
orf19.4983,416.249,382.468,438.593,421.63,550.508,589.955,615.747,605.95
orf19.4984,516.594,473.288,403.172,379.364,785.701,681.896,711.65,664.214
GUP1,354.307,323.627,419.841,414.414,453.157,505.676,628.295,595.268
NUP49,1703.4,1710.23,2275.27,2301.96,1250.06,1429.68,1451.08,1436.22
orf19.4988,302.276,237.923,358.375,319.573,345.467,394.58,414.083,394.256
orf19.499,203.118,219.068,208.775,185.662,177.304,173.248,164.112,170.988
MPT5,123.476,64.6016,124.179,72.7449,290.648,413.611,398.52,393.007
SEC18,1662.52,1655.23,1662.69,1691.68,2086.59,1945.32,1993.34,2127.62
orf19.4995,56.9864,51.1663,71.8834,60.822,55.9984,50.5676,64.5325,54.3801
orf19.4996,33.4486,20.4665,45.8387,39.1735,67.1981,56.697,81.5619,81.5702
KIS2,873.379,881.339,841.765,890.681,952.835,921.709,1039.69,882.706
ROB1,6141.2,5537.41,7313.09,7391.16,6698.82,7784.48,7329.96,7661.53
orf19.50,569.864,610.158,592.777,570.077,905.452,1012.12,1114.08,1069.15
orf19.500,1819.85,1726.86,1474.13,1615.39,1474.05,1382.95,1142.76,1118.68
CYB2,1029.47,933.784,640.7,594.818,1385.32,1163.05,1158,1128.39
CUP2,1046.82,1045.07,1159.51,1172.11,767.609,913.281,820.996,754.524
orf19.5003,925.41,961.926,599.028,594.818,1807.46,1502.47,1787.19,1809.11
RAD54,324.575,354.326,435.467,394.827,344.606,334.819,368.373,350.558
OSM2,759.406,789.24,603.195,575.232,1071.72,993.729,1022.66,1063.33
GCV3,9823.08,9119.69,9310.64,8849.79,11160.5,10499,10294.1,10453
orf19.5006.1,1499.38,1620.07,1301.49,1211.83,2272.16,2362.93,2440.54,2504.03
ACT1,28360.7,29576.7,25268.6,25954.5,20206,19023.4,19033.5,20071.1
DAD1,190.781,154.778,219.817,189.682,345.467,439.785,399.743,433.099
orf19.5009,1346.61,1395.56,1814.8,1704.05,1831.58,1728.49,1691.29,1735.31
orf19.501,5205.59,4809.63,3721.27,3784.36,3222.93,2620.32,2187.83,2073.24
DIM1,412.532,463.055,453.178,402.044,406.635,412.202,371.062,369.008
KAR9,313.425,392.701,298.993,339.16,366.144,401.476,362.099,397.169
orf19.5012,159.81,191.874,254.041,214.357,284.982,292.679,323.559,312.164
AGM1,574.82,546.2,817.959,789.721,705.239,811.379,924.069,864.777
orf19.5014,521.55,537.246,766.756,676.258,734.531,764.643,708.961,718.594
MYO2,3111.95,2894.73,3716.06,3855.49,2874.01,2693.11,2804.47,2830.68
orf19.5016,551.282,592.25,734.461,644.301,1033.82,1458.8,1437.64,1281.82
DUR32,122.645,175.244,175.02,189.682,163.688,156.3,182.842,128.182
orf19.5019,1128.58,1036.12,1100.13,1048.41,1079.48,1027.44,935.721,874.937
orf19.5020,737.107,656.207,787.592,842.23,441.095,558.542,432.905,371.921
PDX1,4464.76,4255.75,3964,4112.18,3673.5,3653.12,3536.74,3421.09
orf19.5022,1352.81,1404.51,998.033,1109.23,1270.73,1209.02,1142.76,1232.29
DAL7,19.8214,21.7457,12.5015,10.3088,13.7842,14.5573,16.1331,16.5082
GND1,62984.9,67334.8,48254.6,50519.3,46522.6,39509.4,38388.7,38456.5
MET3,3758.63,3676.3,3995.26,3850.34,3705.37,3402.58,3522.4,3442.46
orf19.5026,1853.3,1710.23,1585.31,1653.53,1374.12,1250.4,1468.11,1250.74
LCB2,1543.59,1526.03,1683.53,1638.07,1573.13,1445.01,1407.17,1482.83
MODF,1337.94,1308.58,913.648,819.55,1759.21,1617.4,1736.1,1699.38
DOS2,977.441,913.318,829.263,847.384,1094.98,1096.4,1123.04,1186.65
SSK1,1952.4,1848.38,1473.09,1590.65,1530.05,1519.33,1453.77,1419.71
SIM1,18423.5,16665.3,11465.9,12247.8,8866.76,8252.22,6800.16,6513.34
orf19.5033,101.585,126.637,186.48,147.416,158.519,153.235,186.427,158.285
YBP1,1160.79,1046.35,1471,1376.23,1368.95,1254.99,1346.22,1470.21
HPC2,940.33,831.074,856.119,802.222,782.815,741.533,685.18,691.035
HRQ2,145.211,157.336,74.2972,70.4904,172.684,245.572,244.335,238.549
orf19.5038,1479.17,1440.33,1429.33,1364.89,1091.54,1179.91,1152.62,935.144
RRP42,530.222,720.165,679.246,625.745,499.678,586.124,471.445,498.161
orf19.504,2870.38,2539.13,2495.08,2498.86,2808.54,2559.79,2451.34,2457.79
orf19.5040,1087.7,1281.72,1546.01,1652.5,1314.67,1448.84,1440.33,1547.89
orf19.5041,177.153,167.57,229.193,283.492,199.871,285.017,279.641,251.508
orf19.5042,17.3437,20.4665,41.6715,41.2352,42.2142,83.5131,112.932,88.3677
orf19.5043,234.626,230.983,217.774,269.634,308.027,330.644,374.637,340.772
PTP2,226.707,259.669,157.31,181.435,266.208,355.505,311.011,314.628
RAM1,402.622,406.772,452.136,460.804,528.108,581.527,639.051,711.797
orf19.5049,1377.59,1286.83,1079.29,1059.75,1263.84,1395.2,1277.2,1152.66
SRV2,4468.07,4025.04,3885.62,4185.62,4012.25,3355.99,3639.81,3545.56
MTO1,438.548,434.913,550.064,572.139,427.311,442.849,386.299,425.33
orf19.5051,502.967,486.08,492.766,491.73,288.607,271.226,299.359,261.219
orf19.5052,265.111,286.531,304.202,276.276,235.193,243.644,224.967,258.306
orf19.5053,162.287,179.082,197.94,181.435,242.086,265.097,310.114,364.153
orf19.5054,799.049,813.34,652.159,644.084,971.788,979.172,1053.13,1011.67
orf19.5056,272.544,259.873,331.289,288.864,373.036,444.382,410.498,414.838
orf19.5057,35.9262,33.2581,67.7162,69.069,48.2448,49.0352,52.8808,48.5537
SMI1,2834.46,2835.65,2579.91,2565.94,3053.19,2742.27,2945.8,2970.8
GCS1,2663.5,2700.3,2457.58,2409.17,2666.39,2794.24,2728.29,2681.13
YDJ1,3731.02,3877.04,5017.48,5314.98,3274.75,2964.52,3553.38,3898.33
"ADE5,7",5666.43,5747.25,5275.62,5538.92,3743.28,3542.03,3299.22,3159.87
COI1,2104.78,2455.98,1488.76,1524.89,4583.51,3800.98,3827.76,3711.63
MRPL3,751.104,684.349,944.938,981.733,1006.95,1138.68,1116.83,1005.67
orf19.5064.1,1136.01,929.947,959.487,874.187,3523.59,3188.05,2356.33,2943.32
ERD1,412.532,468.171,384.42,356.685,758.994,885.698,993.979,942.912
orf19.5066,894.411,793.077,669.253,634.516,963.883,925.253,940.743,851.157
orf19.5067,301.037,286.531,327.122,343.283,479.864,573.422,587.962,480.681
IRE1,1916.48,1747.33,1604.35,1673.12,1837.61,1684.82,1908.19,1926.61
orf19.5069,94.1515,62.6787,78.1341,80.4087,99.9357,133.314,114.724,100.021
orf19.5070,844.886,798.194,755.296,807.18,270.516,328.689,264.404,262.19
NRP1,620.657,514.221,746.962,747.389,438.511,432.123,466.068,403.967
DPM1,3091.48,3372.26,3100.91,3335.84,4521.86,3531.14,4205.83,4221.99
UBA2,1272.28,1199.85,1401.21,1383.44,1269.87,1119.38,1157.1,1186.65
PFY1,5637.94,6759.06,6212.18,6144.05,5508.52,5655.14,4886.54,5867.23
orf19.5076.1,258.917,306.998,258.363,220.609,273.1,304.172,260.819,230.144
orf19.5077,2980.64,3131.38,3904.62,3907.04,4150.78,4299.77,4313.82,3947.41
OFR1,3073.55,3709.55,2508.63,2647.3,3317.69,3188.82,3507.16,3918.28
CDR4,286.223,259.057,198.498,1805.46,285.953,1429.35,3074.53,250.629
orf19.5079.1,2374.47,2379.54,2436.19,2296.73,3981.25,4215.84,4152.39,4226.03
QDR1,4261.59,4076.67,3276.42,3386.44,4374.77,4453.01,3984.88,3905.66
FUN12,14290.3,13287.6,13321.9,13898.4,8781.23,7887.43,6473.06,6669.42
DRG1,2984.35,3155.68,3533.75,3743.13,1942.72,2041.86,2051.59,2073.24
orf19.5085,5428.58,5105.11,5807.97,6014.16,3477.93,3235.56,3209.59,3235.62
BUD6,1295.82,1185.78,1259.52,1296.85,951.973,893.36,881.944,967.189
TERT,317.142,327.464,275.032,301.017,438.511,377.724,426.631,437.954
orf19.5090,208.124,167.57,211.483,187.62,205.902,192.31,182.842,175.764
orf19.5092,169.72,176.524,243.778,216.485,149.904,157.832,163.124,174.793
orf19.5093,1162.03,1062.98,1423.08,1328.81,1326.73,1268.79,1238.66,1317.75
BUL1,283.693,269.902,577.151,554.614,732.287,618.303,789.626,765.206
orf19.5095,9394.09,9001.43,6644.53,6958.45,6621.6,5362.46,5283.6,5431.21
CAT8,262.633,263.506,237.528,253.597,196.425,188.479,200.768,205.868
NTG1,230.423,230.248,225.026,204.114,230.886,238.28,254.545,231.115
orf19.51,3552.98,3405.12,4615.12,4625.56,5695.47,6395.26,7055.55,6709.15
orf19.510,566.148,550.037,379.211,443.279,491.063,503.377,368.373,382.603
MLT1,5616.88,5227.91,5091.22,5291.51,3694.17,3721.31,3823.55,3705.62
CCR4,2231.71,2114.5,2160.85,2380.43,1162.2,1340.2,1420.98,1379.44
PLB5,1491.56,1442.89,916.774,989.646,779.671,797.588,677.591,713.739
orf19.5103,400.144,349.21,453.178,455.649,318.76,352.441,338.795,331.136
LTP1,1216.54,1368.7,1370.99,1308.19,1848.81,1702.44,1796.15,1767.35
MED15,3133.01,2853.8,2704.48,3061.72,1496.45,1580.62,1517.41,1460.49
DIP2,4060.9,4051.09,3697.31,3696.74,2191.69,2389.7,1970.03,1803.28
NOT5,2585.45,2614.6,2481.54,2684.41,1841.92,1663.37,1473.49,1435.25
orf19.511,661.538,716.328,720.917,698.937,711.611,727.1,748.982,792.396
OPY2,1496.4,1467.38,828.071,888.54,600.563,596.404,529.444,518.873
TKL1,37428,36158,29889.8,29734.9,20888.9,18887.5,17364.8,18199.2
ADH2,331.92,473.599,212.057,203.507,1342.29,1267.73,1301.4,1195.68
orf19.5114,268.827,285.252,320.871,308.233,436.788,470.432,447.246,453.491
orf19.5114.1,2657.3,2963.81,3468.11,3196.76,3763.1,4882.07,3914.07,4827.21
OLE1,87168.6,86452.2,63421.9,65927.3,62013.6,55356.6,51433.3,52447.8
SDS24,4231.26,4276.11,3318.6,3428.54,2444.32,2731.49,2398.55,2284.83
orf19.512,5878.27,5711.44,5543.36,5670.88,3730.36,3535.13,2866.63,2885.06
OPT5,9.91068,6.39578,4.16715,7.21617,20.6763,28.3485,12.548,12.624
RBR3,286.142,220.255,202.814,223.092,207.371,166.455,191.843,177.329
orf19.5125,675.165,652.37,530.27,462.866,1020.89,1104.06,1249.42,1255.6
orf19.5126,4007.63,3650.71,6018.41,6586.3,3312.52,4377.92,3827.13,3610.45
orf19.5129,599.596,611.437,318.787,342.252,515.186,520.233,576.311,617.603
orf19.513,24.7767,24.304,18.7522,13.4015,24.1224,33.7117,37.6439,30.1033
PDI1,15926.5,14687.3,13564.1,13406.6,14684.5,12730.8,12448.5,12540.4
orf19.5131,1559.69,1566.97,1213.68,1277.26,1923.76,1711.64,1797.95,1715.89
orf19.5132,12.3884,23.0248,23.9611,27.8338,31.0145,35.2441,61.8436,39.814
ZCF29,1723.22,1755,1642.9,1723.63,1330.18,1239.67,1359.66,1306.09
orf19.5134,265.111,359.443,401.088,416.476,338.575,416.799,413.187,387.458
orf19.5136,739.585,775.169,783.425,792.747,545.339,556.243,473.238,522.438
orf19.5137,0,5.95E-150,0,0,6.89E-274,3.84E-248,4.77E-291,0
HHO1,872.56,442.916,176.992,446.091,261.314,275.654,263.697,318.395
IFA21,718.441,683.048,804.257,799.732,1128.2,1016.13,1106.73,1006.3
orf19.5139,983.005,998.984,731.329,716.964,654.756,771.37,764.191,702.766
SNP3,514.117,647.253,644.867,657.702,826.192,897.191,699.998,848.718
orf19.5140,38.4039,31.9789,35.4208,43.297,68.9212,68.9558,56.4659,84.4834
orf19.5141,97.868,75.4703,61.4655,85.5631,158.519,112.628,147.887,138.864
DFR1,108.206,93.793,129.455,116.967,184.634,200.258,220.176,184.814
TIM54,1852.87,1718.77,1904.12,1982.94,1795.13,1589.53,1538.33,1457.27
PGA28,66.8971,56.2829,40.6297,42.2661,36.1836,39.0749,30.4737,32.0454
SSP96,107.779,118.962,80.2177,96.9028,77.5363,96.5381,66.325,63.1198
LMO1,1267.33,1157.64,1197.01,1111.29,1334.49,1165.35,1243.15,1202.19
CYR1,4264.06,4306.99,3835.37,3952.42,4338.09,3531.88,3957.38,3816.32
orf19.515,132.555,125.357,188.564,187.62,209.348,234.45,201.664,196.157
CHS6,787.907,796.841,807.033,816.435,837.024,845.279,807.264,895.325
orf19.5156,911.783,1029.72,1050.97,982.429,910.621,887.231,887.321,935.144
orf19.5157,153.616,154.778,120.847,104.119,152.488,127.185,103.969,126.24
